"Step","round2_unet2d_fold0 - train/ssim","round2_unet2d_fold0 - train/ssim__MIN","round2_unet2d_fold0 - train/ssim__MAX"
"0","0.2318031286180255","0.2318031286180255","0.2318031286180255"
"1","0.1978363705717999","0.1978363705717999","0.1978363705717999"
"2","0.1848424349848932","0.1848424349848932","0.1848424349848932"
"3","0.1783360868339011","0.1783360868339011","0.1783360868339011"
"4","0.1742675517740928","0.1742675517740928","0.1742675517740928"
"7","0.17035419143471323","0.17035419143471323","0.17035419143471323"
"8","0.16783075650690102","0.16783075650690102","0.16783075650690102"
"9","0.1661291759358093","0.1661291759358093","0.1661291759358093"
"10","0.16397469567922734","0.16397469567922734","0.16397469567922734"
"11","0.16230452242104904","0.16230452242104904","0.16230452242104904"
"14","0.16063623393006005","0.16063623393006005","0.16063623393006005"
"15","0.15906459008280938","0.15906459008280938","0.15906459008280938"
"16","0.15804333858810396","0.15804333858810396","0.15804333858810396"
"17","0.15686632491383157","0.15686632491383157","0.15686632491383157"
"18","0.15603244481350592","0.15603244481350592","0.15603244481350592"
"21","0.15469915332059145","0.15469915332059145","0.15469915332059145"
"22","0.15392971561831448","0.15392971561831448","0.15392971561831448"
"23","0.15241524521776809","0.15241524521776809","0.15241524521776809"
"24","0.15156099193180975","0.15156099193180975","0.15156099193180975"
"25","0.15038124313467577","0.15038124313467577","0.15038124313467577"
"28","0.1499056584514648","0.1499056584514648","0.1499056584514648"
"29","0.14942766159419485","0.14942766159419485","0.14942766159419485"
"30","0.14804866754490395","0.14804866754490395","0.14804866754490395"
"31","0.14684139533711987","0.14684139533711987","0.14684139533711987"
"32","0.1461308953083551","0.1461308953083551","0.1461308953083551"
"35","0.1451852595382057","0.1451852595382057","0.1451852595382057"
"36","0.14426001693184667","0.14426001693184667","0.14426001693184667"
"37","0.1433171052942163","0.1433171052942163","0.1433171052942163"
"38","0.14221232870350714","0.14221232870350714","0.14221232870350714"
"39","0.14143723521543586","0.14143723521543586","0.14143723521543586"
"42","0.14007878398942383","0.14007878398942383","0.14007878398942383"
"43","0.13916149054591365","0.13916149054591365","0.13916149054591365"
"44","0.1382659500059874","0.1382659500059874","0.1382659500059874"
"45","0.1373648621348053","0.1373648621348053","0.1373648621348053"
"46","0.13637154996395112","0.13637154996395112","0.13637154996395112"
"49","0.13488543686188256","0.13488543686188256","0.13488543686188256"
"50","0.13354676361140527","0.13354676361140527","0.13354676361140527"
"51","0.1327977734238734","0.1327977734238734","0.1327977734238734"
"52","0.1321428265849592","0.1321428265849592","0.1321428265849592"
"53","0.13081117512680326","0.13081117512680326","0.13081117512680326"
"56","0.12955869386789828","0.12955869386789828","0.12955869386789828"
"57","0.12862043494999173","0.12862043494999173","0.12862043494999173"
"58","0.12699887382654335","0.12699887382654335","0.12699887382654335"
"59","0.12621696907069843","0.12621696907069843","0.12621696907069843"
"60","0.12480657333913056","0.12480657333913056","0.12480657333913056"
"63","0.12367889441755921","0.12367889441755921","0.12367889441755921"
"64","0.12298966218595919","0.12298966218595919","0.12298966218595919"
"65","0.12145208870704938","0.12145208870704938","0.12145208870704938"
"66","0.12049454256244328","0.12049454256244328","0.12049454256244328"
"67","0.11941002687446685","0.11941002687446685","0.11941002687446685"
"70","0.1186037947420075","0.1186037947420075","0.1186037947420075"
"71","0.11687245578633938","0.11687245578633938","0.11687245578633938"
"72","0.1160646678312965","0.1160646678312965","0.1160646678312965"
"73","0.11488206048492386","0.11488206048492386","0.11488206048492386"
"74","0.11391691137915072","0.11391691137915072","0.11391691137915072"
"77","0.1128103413365104","0.1128103413365104","0.1128103413365104"
"78","0.1115510035644878","0.1115510035644878","0.1115510035644878"
"79","0.11049643118862107","0.11049643118862107","0.11049643118862107"
"80","0.11000317140765813","0.11000317140765813","0.11000317140765813"
"81","0.1089088749390817","0.1089088749390817","0.1089088749390817"
"84","0.1079302229428951","0.1079302229428951","0.1079302229428951"
"85","0.10696778527126011","0.10696778527126011","0.10696778527126011"
"86","0.10584809782476765","0.10584809782476765","0.10584809782476765"
"87","0.10513000503594697","0.10513000503594697","0.10513000503594697"
"88","0.10430127015933689","0.10430127015933689","0.10430127015933689"
"91","0.10359191822675848","0.10359191822675848","0.10359191822675848"
"92","0.1026977614922957","0.1026977614922957","0.1026977614922957"
"93","0.10193640577934476","0.10193640577934476","0.10193640577934476"
"94","0.10142434232319768","0.10142434232319768","0.10142434232319768"
"95","0.10053531511027822","0.10053531511027822","0.10053531511027822"
"98","0.0998765152904827","0.0998765152904827","0.0998765152904827"
"99","0.09928092829323569","0.09928092829323569","0.09928092829323569"
"100","0.09853269455461162","0.09853269455461162","0.09853269455461162"
"101","0.0982176920877615","0.0982176920877615","0.0982176920877615"
"102","0.0974214424728876","0.0974214424728876","0.0974214424728876"
"105","0.09704898254202289","0.09704898254202289","0.09704898254202289"
"106","0.09646396084500868","0.09646396084500868","0.09646396084500868"
"107","0.09588198619397732","0.09588198619397732","0.09588198619397732"
"108","0.09538301311933947","0.09538301311933947","0.09538301311933947"
"109","0.09522443619876982","0.09522443619876982","0.09522443619876982"
"112","0.09476800269995754","0.09476800269995754","0.09476800269995754"
"113","0.09431521520313067","0.09431521520313067","0.09431521520313067"
"114","0.09409938426357013","0.09409938426357013","0.09409938426357013"
"115","0.0937525932261124","0.0937525932261124","0.0937525932261124"
"116","0.09336340205942689","0.09336340205942689","0.09336340205942689"
"119","0.09306248830476768","0.09306248830476768","0.09306248830476768"
"120","0.09281258142512777","0.09281258142512777","0.09281258142512777"
"121","0.09252454528931102","0.09252454528931102","0.09252454528931102"
"122","0.09235939914765565","0.09235939914765565","0.09235939914765565"
"123","0.09229914868773208","0.09229914868773208","0.09229914868773208"
"126","0.09202417904444835","0.09202417904444835","0.09202417904444835"
"127","0.09209472408643353","0.09209472408643353","0.09209472408643353"
"128","0.09195306858290797","0.09195306858290797","0.09195306858290797"
"129","0.09180596965574936","0.09180596965574936","0.09180596965574936"
"130","0.09165635046516012","0.09165635046516012","0.09165635046516012"
"133","0.09156512092695877","0.09156512092695877","0.09156512092695877"
