"Step","unet2d_25d_fold0 - train/ssim","unet2d_25d_fold0 - train/ssim__MIN","unet2d_25d_fold0 - train/ssim__MAX"
"0","0.23191256907146438","0.23191256907146438","0.23191256907146438"
"1","0.19952477124839904","0.19952477124839904","0.19952477124839904"
"2","0.1855721967611388","0.1855721967611388","0.1855721967611388"
"3","0.17837965755830168","0.17837965755830168","0.17837965755830168"
"4","0.1735078696205682","0.1735078696205682","0.1735078696205682"
"7","0.1699849400949101","0.1699849400949101","0.1699849400949101"
"8","0.16727099496385325","0.16727099496385325","0.16727099496385325"
"9","0.1652996447482128","0.1652996447482128","0.1652996447482128"
"10","0.16313690629165634","0.16313690629165634","0.16313690629165634"
"11","0.16119028184960482","0.16119028184960482","0.16119028184960482"
"14","0.1593217286667805","0.1593217286667805","0.1593217286667805"
"15","0.15811243515476409","0.15811243515476409","0.15811243515476409"
"16","0.1568961362122547","0.1568961362122547","0.1568961362122547"
"17","0.15567140959703876","0.15567140959703876","0.15567140959703876"
"18","0.1544612369989689","0.1544612369989689","0.1544612369989689"
"21","0.1529775731177198","0.1529775731177198","0.1529775731177198"
"22","0.15236664267161146","0.15236664267161146","0.15236664267161146"
"23","0.15108004173506862","0.15108004173506862","0.15108004173506862"
"24","0.15063345413434176","0.15063345413434176","0.15063345413434176"
"25","0.14964363757565088","0.14964363757565088","0.14964363757565088"
"28","0.1483023151696435","0.1483023151696435","0.1483023151696435"
"29","0.14697769658838808","0.14697769658838808","0.14697769658838808"
"30","0.14604930858838228","0.14604930858838228","0.14604930858838228"
"31","0.14521042404203074","0.14521042404203074","0.14521042404203074"
"32","0.1446456413377415","0.1446456413377415","0.1446456413377415"
"35","0.14404926870180212","0.14404926870180212","0.14404926870180212"
"36","0.1423471855080646","0.1423471855080646","0.1423471855080646"
"37","0.1411684678477261","0.1411684678477261","0.1411684678477261"
"38","0.140430170980838","0.140430170980838","0.140430170980838"
"39","0.1393330069634283","0.1393330069634283","0.1393330069634283"
"42","0.13815511999865293","0.13815511999865293","0.13815511999865293"
"43","0.13739123797934988","0.13739123797934988","0.13739123797934988"
"44","0.13684069774603183","0.13684069774603183","0.13684069774603183"
"45","0.1356963861954542","0.1356963861954542","0.1356963861954542"
"46","0.13398712829874437","0.13398712829874437","0.13398712829874437"
"49","0.13303364064146878","0.13303364064146878","0.13303364064146878"
"50","0.13158476982898862","0.13158476982898862","0.13158476982898862"
"51","0.13067781762643293","0.13067781762643293","0.13067781762643293"
"52","0.12955745019224793","0.12955745019224793","0.12955745019224793"
"53","0.12850106208927548","0.12850106208927548","0.12850106208927548"
"56","0.12720762474734792","0.12720762474734792","0.12720762474734792"
"57","0.12599277402101297","0.12599277402101297","0.12599277402101297"
"58","0.12464102983710323","0.12464102983710323","0.12464102983710323"
"59","0.12379955929729779","0.12379955929729779","0.12379955929729779"
"60","0.12209988894905498","0.12209988894905498","0.12209988894905498"
"63","0.12100917495522104","0.12100917495522104","0.12100917495522104"
"64","0.11957820523162133","0.11957820523162133","0.11957820523162133"
"65","0.11876025812427989","0.11876025812427989","0.11876025812427989"
"66","0.11729730722225702","0.11729730722225702","0.11729730722225702"
"67","0.11633406098887854","0.11633406098887854","0.11633406098887854"
"70","0.11484784983363547","0.11484784983363547","0.11484784983363547"
"71","0.11388073065299761","0.11388073065299761","0.11388073065299761"
"72","0.11252694121698145","0.11252694121698145","0.11252694121698145"
"73","0.11136810462700991","0.11136810462700991","0.11136810462700991"
"74","0.11023776320365107","0.11023776320365107","0.11023776320365107"
"77","0.10866774222831953","0.10866774222831953","0.10866774222831953"
"78","0.10796390207624247","0.10796390207624247","0.10796390207624247"
"79","0.10692463908270886","0.10692463908270886","0.10692463908270886"
"80","0.10569597523909784","0.10569597523909784","0.10569597523909784"
"81","0.10453345668410124","0.10453345668410124","0.10453345668410124"
"84","0.10363101744840268","0.10363101744840268","0.10363101744840268"
"85","0.10278250691683397","0.10278250691683397","0.10278250691683397"
"86","0.10155492492108477","0.10155492492108477","0.10155492492108477"
"87","0.10069968860611143","0.10069968860611143","0.10069968860611143"
"88","0.09980517327785492","0.09980517327785492","0.09980517327785492"
"91","0.09915621040366855","0.09915621040366855","0.09915621040366855"
"92","0.09822851860004922","0.09822851860004922","0.09822851860004922"
"93","0.09728085610706344","0.09728085610706344","0.09728085610706344"
"94","0.09670096435565723","0.09670096435565723","0.09670096435565723"
"95","0.09584201721570237","0.09584201721570237","0.09584201721570237"
"98","0.09548576461232226","0.09548576461232226","0.09548576461232226"
"99","0.09450210548436688","0.09450210548436688","0.09450210548436688"
"100","0.09387391455795453","0.09387391455795453","0.09387391455795453"
"101","0.09340391341641015","0.09340391341641015","0.09340391341641015"
"102","0.09252197052179117","0.09252197052179117","0.09252197052179117"
"105","0.09214584911058071","0.09214584911058071","0.09214584911058071"
"106","0.0914660083917761","0.0914660083917761","0.0914660083917761"
"107","0.09089398309882922","0.09089398309882922","0.09089398309882922"
"108","0.09065481584533873","0.09065481584533873","0.09065481584533873"
"109","0.09033855903054415","0.09033855903054415","0.09033855903054415"
"112","0.0897219803375689","0.0897219803375689","0.0897219803375689"
