"Step","round2_unet2d_fold1 - train/mae","round2_unet2d_fold1 - train/mae__MIN","round2_unet2d_fold1 - train/mae__MAX"
"0","0.08758825446318626","0.08758825446318626","0.08758825446318626"
"1","0.07628812941237728","0.07628812941237728","0.07628812941237728"
"2","0.07109949377534576","0.07109949377534576","0.07109949377534576"
"3","0.06838629999088044","0.06838629999088044","0.06838629999088044"
"4","0.06672690515528829","0.06672690515528829","0.06672690515528829"
"7","0.06559562971965267","0.06559562971965267","0.06559562971965267"
"8","0.06484700987979963","0.06484700987979963","0.06484700987979963"
"9","0.06399200092591915","0.06399200092591915","0.06399200092591915"
"10","0.06314985984633101","0.06314985984633101","0.06314985984633101"
"11","0.062499703574164234","0.062499703574164234","0.062499703574164234"
"14","0.06200112002544038","0.06200112002544038","0.06200112002544038"
"15","0.06136208431771125","0.06136208431771125","0.06136208431771125"
"16","0.06080397916427953","0.06080397916427953","0.06080397916427953"
"17","0.06064355417336317","0.06064355417336317","0.06064355417336317"
"18","0.06017592955138074","0.06017592955138074","0.06017592955138074"
"21","0.059654365811407824","0.059654365811407824","0.059654365811407824"
"22","0.05941233627655989","0.05941233627655989","0.05941233627655989"
"23","0.05906841101431061","0.05906841101431061","0.05906841101431061"
"24","0.058799663451184196","0.058799663451184196","0.058799663451184196"
"25","0.05822159871005951","0.05822159871005951","0.05822159871005951"
"28","0.05802350041261779","0.05802350041261779","0.05802350041261779"
"29","0.05769061070430999","0.05769061070430999","0.05769061070430999"
"30","0.05721813648472923","0.05721813648472923","0.05721813648472923"
"31","0.056954575847599054","0.056954575847599054","0.056954575847599054"
"32","0.05646662655289779","0.05646662655289779","0.05646662655289779"
"35","0.05633962406784518","0.05633962406784518","0.05633962406784518"
"36","0.05590326440469068","0.05590326440469068","0.05590326440469068"
"37","0.055669550023236404","0.055669550023236404","0.055669550023236404"
"38","0.055406034965011106","0.055406034965011106","0.055406034965011106"
"39","0.0550112720117084","0.0550112720117084","0.0550112720117084"
"42","0.05482408291013183","0.05482408291013183","0.05482408291013183"
"43","0.05449607447498555","0.05449607447498555","0.05449607447498555"
"44","0.05424929618698071","0.05424929618698071","0.05424929618698071"
"45","0.05372941228913683","0.05372941228913683","0.05372941228913683"
"46","0.05359037644597024","0.05359037644597024","0.05359037644597024"
"49","0.05289648354225951","0.05289648354225951","0.05289648354225951"
"50","0.05284450697705658","0.05284450697705658","0.05284450697705658"
"51","0.052477144686999905","0.052477144686999905","0.052477144686999905"
"52","0.052055758600575916","0.052055758600575916","0.052055758600575916"
"53","0.051877294887381936","0.051877294887381936","0.051877294887381936"
"56","0.05147139691313303","0.05147139691313303","0.05147139691313303"
"57","0.05105703671398164","0.05105703671398164","0.05105703671398164"
"58","0.05065358415532458","0.05065358415532458","0.05065358415532458"
"59","0.05031900502896253","0.05031900502896253","0.05031900502896253"
"60","0.05012881343438198","0.05012881343438198","0.05012881343438198"
"63","0.049768481517949374","0.049768481517949374","0.049768481517949374"
"64","0.049314604746232595","0.049314604746232595","0.049314604746232595"
"65","0.04893310659661123","0.04893310659661123","0.04893310659661123"
"66","0.04860203899370076","0.04860203899370076","0.04860203899370076"
"67","0.04823144392368722","0.04823144392368722","0.04823144392368722"
"70","0.047976488622746526","0.047976488622746526","0.047976488622746526"
"71","0.04774630627795475","0.04774630627795475","0.04774630627795475"
"72","0.047400331393939434","0.047400331393939434","0.047400331393939434"
"73","0.04709640263096404","0.04709640263096404","0.04709640263096404"
"74","0.04672727420547573","0.04672727420547573","0.04672727420547573"
"77","0.04636028641451219","0.04636028641451219","0.04636028641451219"
"78","0.04604104024943778","0.04604104024943778","0.04604104024943778"
"79","0.045788565175604146","0.045788565175604146","0.045788565175604146"
"80","0.04554208545960565","0.04554208545960565","0.04554208545960565"
"81","0.04518108741223532","0.04518108741223532","0.04518108741223532"
"84","0.04495042301612117","0.04495042301612117","0.04495042301612117"
"85","0.04474311294717361","0.04474311294717361","0.04474311294717361"
"86","0.044436185282394555","0.044436185282394555","0.044436185282394555"
"87","0.044246810327641","0.044246810327641","0.044246810327641"
"88","0.04394997091669401","0.04394997091669401","0.04394997091669401"
"91","0.043779905984107303","0.043779905984107303","0.043779905984107303"
"92","0.043472827153873","0.043472827153873","0.043472827153873"
"93","0.04330061420377398","0.04330061420377398","0.04330061420377398"
"94","0.04306311063211237","0.04306311063211237","0.04306311063211237"
"95","0.042862289327588815","0.042862289327588815","0.042862289327588815"
"98","0.04266268668477794","0.04266268668477794","0.04266268668477794"
"99","0.042529409400542936","0.042529409400542936","0.042529409400542936"
"100","0.04230653234271909","0.04230653234271909","0.04230653234271909"
"101","0.042186396602408215","0.042186396602408215","0.042186396602408215"
"102","0.0420384649782876","0.0420384649782876","0.0420384649782876"
"105","0.04187094983372584","0.04187094983372584","0.04187094983372584"
"106","0.04170042497028073","0.04170042497028073","0.04170042497028073"
"107","0.04154974143008021","0.04154974143008021","0.04154974143008021"
"108","0.04141101848206926","0.04141101848206926","0.04141101848206926"
"109","0.04132297513922461","0.04132297513922461","0.04132297513922461"
"112","0.04118205486073733","0.04118205486073733","0.04118205486073733"
"113","0.04112330900133241","0.04112330900133241","0.04112330900133241"
"114","0.0409479679458688","0.0409479679458688","0.0409479679458688"
"115","0.040926243420054555","0.040926243420054555","0.040926243420054555"
"116","0.04082790825979272","0.04082790825979272","0.04082790825979272"
"119","0.040725427616874275","0.040725427616874275","0.040725427616874275"
"120","0.04070328829299239","0.04070328829299239","0.04070328829299239"
"121","0.040615298903648435","0.040615298903648435","0.040615298903648435"
"122","0.040525380994798674","0.040525380994798674","0.040525380994798674"
