"Step","dynunet_fold4 - train/total","dynunet_fold4 - train/total__MIN","dynunet_fold4 - train/total__MAX"
"0","0.1981754090926624","0.1981754090926624","0.1981754090926624"
"1","0.16753441627593973","0.16753441627593973","0.16753441627593973"
"2","0.15885066673095233","0.15885066673095233","0.15885066673095233"
"3","0.1531757661513582","0.1531757661513582","0.1531757661513582"
"4","0.14785768661133092","0.14785768661133092","0.14785768661133092"
"7","0.14550043582176028","0.14550043582176028","0.14550043582176028"
"8","0.14355003731989063","0.14355003731989063","0.14355003731989063"
"9","0.14169023129646516","0.14169023129646516","0.14169023129646516"
"10","0.13818253920117865","0.13818253920117865","0.13818253920117865"
"11","0.13626136709020734","0.13626136709020734","0.13626136709020734"
"14","0.13426235887034924","0.13426235887034924","0.13426235887034924"
"15","0.13428452629676454","0.13428452629676454","0.13428452629676454"
"16","0.13214527836902223","0.13214527836902223","0.13214527836902223"
"17","0.13219339043891648","0.13219339043891648","0.13219339043891648"
"18","0.1303770049469099","0.1303770049469099","0.1303770049469099"
"21","0.1296434279465364","0.1296434279465364","0.1296434279465364"
"22","0.128601863390925","0.128601863390925","0.128601863390925"
"23","0.12797571198318805","0.12797571198318805","0.12797571198318805"
"24","0.12746332749547376","0.12746332749547376","0.12746332749547376"
"25","0.1271564515230103","0.1271564515230103","0.1271564515230103"
"28","0.12471687502668241","0.12471687502668241","0.12471687502668241"
"29","0.1270065089188854","0.1270065089188854","0.1270065089188854"
"30","0.12528928650893095","0.12528928650893095","0.12528928650893095"
"31","0.12372062328325878","0.12372062328325878","0.12372062328325878"
"32","0.12359051058595884","0.12359051058595884","0.12359051058595884"
"35","0.12321834807278143","0.12321834807278143","0.12321834807278143"
"36","0.12395696565066314","0.12395696565066314","0.12395696565066314"
"37","0.12361273026600737","0.12361273026600737","0.12361273026600737"
"38","0.12252557097851716","0.12252557097851716","0.12252557097851716"
"39","0.12236495977408428","0.12236495977408428","0.12236495977408428"
"42","0.12232470534315441","0.12232470534315441","0.12232470534315441"
"43","0.12170441535182829","0.12170441535182829","0.12170441535182829"
