"Step","unet2d_25d_fold4 - train/ssim","unet2d_25d_fold4 - train/ssim__MIN","unet2d_25d_fold4 - train/ssim__MAX"
"0","0.22688918234716554","0.22688918234716554","0.22688918234716554"
"1","0.1958318316607108","0.1958318316607108","0.1958318316607108"
"2","0.18166916338387784","0.18166916338387784","0.18166916338387784"
"3","0.1740010446037892","0.1740010446037892","0.1740010446037892"
"4","0.16952091437939124","0.16952091437939124","0.16952091437939124"
"7","0.16619803759249524","0.16619803759249524","0.16619803759249524"
"8","0.16343897470137475","0.16343897470137475","0.16343897470137475"
"9","0.16116315988426275","0.16116315988426275","0.16116315988426275"
"10","0.1591876162843519","0.1591876162843519","0.1591876162843519"
"11","0.1573005602940517","0.1573005602940517","0.1573005602940517"
"14","0.1559902426894216","0.1559902426894216","0.1559902426894216"
"15","0.15451942805610355","0.15451942805610355","0.15451942805610355"
"16","0.1532013608081047","0.1532013608081047","0.1532013608081047"
"17","0.1516431402674194","0.1516431402674194","0.1516431402674194"
"18","0.15037894807281435","0.15037894807281435","0.15037894807281435"
"21","0.1495500183937107","0.1495500183937107","0.1495500183937107"
"22","0.14858428057843087","0.14858428057843087","0.14858428057843087"
"23","0.1476240406054131","0.1476240406054131","0.1476240406054131"
"24","0.14620130789319652","0.14620130789319652","0.14620130789319652"
"25","0.14571941237624383","0.14571941237624383","0.14571941237624383"
"28","0.14471047658815633","0.14471047658815633","0.14471047658815633"
"29","0.14352861047375093","0.14352861047375093","0.14352861047375093"
"30","0.14249284367175422","0.14249284367175422","0.14249284367175422"
"31","0.14149287601744173","0.14149287601744173","0.14149287601744173"
"32","0.14015815667070736","0.14015815667070736","0.14015815667070736"
"35","0.13916819868381178","0.13916819868381178","0.13916819868381178"
"36","0.13830864735498116","0.13830864735498116","0.13830864735498116"
"37","0.13707779152543317","0.13707779152543317","0.13707779152543317"
"38","0.13604244596229775","0.13604244596229775","0.13604244596229775"
"39","0.1353603764863288","0.1353603764863288","0.1353603764863288"
"42","0.13416539059885105","0.13416539059885105","0.13416539059885105"
"43","0.13350920118398815","0.13350920118398815","0.13350920118398815"
"44","0.13147494121553757","0.13147494121553757","0.13147494121553757"
"45","0.13050436092876067","0.13050436092876067","0.13050436092876067"
"46","0.12966152796108957","0.12966152796108957","0.12966152796108957"
"49","0.12838093829860459","0.12838093829860459","0.12838093829860459"
"50","0.12697211590650478","0.12697211590650478","0.12697211590650478"
"51","0.12610759768746727","0.12610759768746727","0.12610759768746727"
"52","0.12488817346345997","0.12488817346345997","0.12488817346345997"
"53","0.123585717422972","0.123585717422972","0.123585717422972"
"56","0.12234604338816561","0.12234604338816561","0.12234604338816561"
"57","0.12120898371931386","0.12120898371931386","0.12120898371931386"
"58","0.11971380456905376","0.11971380456905376","0.11971380456905376"
"59","0.11875858012307235","0.11875858012307235","0.11875858012307235"
"60","0.11731923403236275","0.11731923403236275","0.11731923403236275"
"63","0.11615664753847535","0.11615664753847535","0.11615664753847535"
"64","0.11501680666994353","0.11501680666994353","0.11501680666994353"
"65","0.1133895883624656","0.1133895883624656","0.1133895883624656"
"66","0.1123890465739753","0.1123890465739753","0.1123890465739753"
"67","0.11106771266906607","0.11106771266906607","0.11106771266906607"
"70","0.10970766591530512","0.10970766591530512","0.10970766591530512"
"71","0.10865359497425395","0.10865359497425395","0.10865359497425395"
"72","0.10718056255290491","0.10718056255290491","0.10718056255290491"
"73","0.10620082048441928","0.10620082048441928","0.10620082048441928"
"74","0.10501257315724825","0.10501257315724825","0.10501257315724825"
"77","0.10405346481981825","0.10405346481981825","0.10405346481981825"
"78","0.10296549198792398","0.10296549198792398","0.10296549198792398"
"79","0.10178047333328065","0.10178047333328065","0.10178047333328065"
"80","0.10046006119206866","0.10046006119206866","0.10046006119206866"
"81","0.09937641289148662","0.09937641289148662","0.09937641289148662"
"84","0.09868057348110058","0.09868057348110058","0.09868057348110058"
"85","0.09773918637663108","0.09773918637663108","0.09773918637663108"
"86","0.09664027292121515","0.09664027292121515","0.09664027292121515"
"87","0.09583613070324078","0.09583613070324078","0.09583613070324078"
"88","0.09492852283463206","0.09492852283463206","0.09492852283463206"
"91","0.09406702965351967","0.09406702965351967","0.09406702965351967"
"92","0.09344978704420744","0.09344978704420744","0.09344978704420744"
"93","0.09251973184211428","0.09251973184211428","0.09251973184211428"
"94","0.09173334558267536","0.09173334558267536","0.09173334558267536"
"95","0.09104920341154185","0.09104920341154185","0.09104920341154185"
"98","0.09059135165841538","0.09059135165841538","0.09059135165841538"
"99","0.08974274555515033","0.08974274555515033","0.08974274555515033"
"100","0.08897896421999878","0.08897896421999878","0.08897896421999878"
"101","0.08856252165791943","0.08856252165791943","0.08856252165791943"
"102","0.08773895797368804","0.08773895797368804","0.08773895797368804"
"105","0.08752328351318148","0.08752328351318148","0.08752328351318148"
"106","0.08678641629737661","0.08678641629737661","0.08678641629737661"
"107","0.08631945345510625","0.08631945345510625","0.08631945345510625"
"108","0.08593106047910451","0.08593106047910451","0.08593106047910451"
"109","0.0854802357550114","0.0854802357550114","0.0854802357550114"
"112","0.08535568879535099","0.08535568879535099","0.08535568879535099"
"113","0.08497400715284294","0.08497400715284294","0.08497400715284294"
"114","0.08461882254901223","0.08461882254901223","0.08461882254901223"
"115","0.08425364156996248","0.08425364156996248","0.08425364156996248"
"116","0.0840282150630551","0.0840282150630551","0.0840282150630551"
"119","0.0837266178731939","0.0837266178731939","0.0837266178731939"
"120","0.08340552069032144","0.08340552069032144","0.08340552069032144"
"121","0.0831689998703145","0.0831689998703145","0.0831689998703145"
"122","0.08302047151970718","0.08302047151970718","0.08302047151970718"
"123","0.0827089419977912","0.0827089419977912","0.0827089419977912"
"126","0.08273018845478367","0.08273018845478367","0.08273018845478367"
"127","0.08257499807329008","0.08257499807329008","0.08257499807329008"
"128","0.08243024218393125","0.08243024218393125","0.08243024218393125"
"129","0.08228718338586433","0.08228718338586433","0.08228718338586433"
"130","0.08225975893021752","0.08225975893021752","0.08225975893021752"
"133","0.08204457348943714","0.08204457348943714","0.08204457348943714"
"134","0.08212770294166653","0.08212770294166653","0.08212770294166653"
"135","0.08200172052975849","0.08200172052975849","0.08200172052975849"
"136","0.08201162661614662","0.08201162661614662","0.08201162661614662"
"137","0.08191799326735386","0.08191799326735386","0.08191799326735386"
