"Step","unet2d_25d_fold2 - train/mae","unet2d_25d_fold2 - train/mae__MIN","unet2d_25d_fold2 - train/mae__MAX"
"0","0.08749880088445841","0.08749880088445841","0.08749880088445841"
"1","0.07651110226233761","0.07651110226233761","0.07651110226233761"
"2","0.0709994522267825","0.0709994522267825","0.0709994522267825"
"3","0.0683052695288875","0.0683052695288875","0.0683052695288875"
"4","0.06672889999206927","0.06672889999206927","0.06672889999206927"
"7","0.06580946384701301","0.06580946384701301","0.06580946384701301"
"8","0.06485489600223221","0.06485489600223221","0.06485489600223221"
"9","0.0641294882204493","0.0641294882204493","0.0641294882204493"
"10","0.06343869982203451","0.06343869982203451","0.06343869982203451"
"11","0.0628950470916329","0.0628950470916329","0.0628950470916329"
"14","0.0626095619030778","0.0626095619030778","0.0626095619030778"
"15","0.06194973025624066","0.06194973025624066","0.06194973025624066"
"16","0.061467993528438174","0.061467993528438174","0.061467993528438174"
"17","0.060934650604549334","0.060934650604549334","0.060934650604549334"
"18","0.060465561924411125","0.060465561924411125","0.060465561924411125"
"21","0.06026778508910869","0.06026778508910869","0.06026778508910869"
"22","0.05983481787021205","0.05983481787021205","0.05983481787021205"
"23","0.059507094458139224","0.059507094458139224","0.059507094458139224"
"24","0.05927679515689786","0.05927679515689786","0.05927679515689786"
"25","0.05878113629132393","0.05878113629132393","0.05878113629132393"
"28","0.058671071191925245","0.058671071191925245","0.058671071191925245"
"29","0.058248584986155864","0.058248584986155864","0.058248584986155864"
"30","0.057906561029560995","0.057906561029560995","0.057906561029560995"
"31","0.057635607746103504","0.057635607746103504","0.057635607746103504"
"32","0.05717696333285822","0.05717696333285822","0.05717696333285822"
"35","0.05698918770167634","0.05698918770167634","0.05698918770167634"
"36","0.05667744932109362","0.05667744932109362","0.05667744932109362"
"37","0.056387580305687836","0.056387580305687836","0.056387580305687836"
"38","0.055880907142203146","0.055880907142203146","0.055880907142203146"
"39","0.05549896109754442","0.05549896109754442","0.05549896109754442"
"42","0.0551729348912806","0.0551729348912806","0.0551729348912806"
"43","0.0549275172076055","0.0549275172076055","0.0549275172076055"
"44","0.05464767116193027","0.05464767116193027","0.05464767116193027"
"45","0.054144675684126856","0.054144675684126856","0.054144675684126856"
"46","0.05393965939085369","0.05393965939085369","0.05393965939085369"
"49","0.05365386938898589","0.05365386938898589","0.05365386938898589"
"50","0.05337268958622754","0.05337268958622754","0.05337268958622754"
"51","0.05296958447479572","0.05296958447479572","0.05296958447479572"
"52","0.05267895650621613","0.05267895650621613","0.05267895650621613"
"53","0.05235597965600964","0.05235597965600964","0.05235597965600964"
"56","0.05208719728438005","0.05208719728438005","0.05208719728438005"
"57","0.051698189224399","0.051698189224399","0.051698189224399"
"58","0.05120995853737784","0.05120995853737784","0.05120995853737784"
"59","0.05105819628590357","0.05105819628590357","0.05105819628590357"
"60","0.05062477827006532","0.05062477827006532","0.05062477827006532"
"63","0.05006786554016596","0.05006786554016596","0.05006786554016596"
"64","0.04989271024260269","0.04989271024260269","0.04989271024260269"
"65","0.0495702270509533","0.0495702270509533","0.0495702270509533"
"66","0.0492636270576873","0.0492636270576873","0.0492636270576873"
"67","0.0488853557891925","0.0488853557891925","0.0488853557891925"
"70","0.04848845138300188","0.04848845138300188","0.04848845138300188"
"71","0.04800861940123214","0.04800861940123214","0.04800861940123214"
"72","0.047887799273192186","0.047887799273192186","0.047887799273192186"
"73","0.04747611008431405","0.04747611008431405","0.04747611008431405"
"74","0.04725621656902907","0.04725621656902907","0.04725621656902907"
"77","0.04693171149830529","0.04693171149830529","0.04693171149830529"
"78","0.04658012211745616","0.04658012211745616","0.04658012211745616"
"79","0.04625113773835848","0.04625113773835848","0.04625113773835848"
"80","0.045971453523740845","0.045971453523740845","0.045971453523740845"
"81","0.04563070709166461","0.04563070709166461","0.04563070709166461"
"84","0.04541901101316316","0.04541901101316316","0.04541901101316316"
"85","0.04503912485210105","0.04503912485210105","0.04503912485210105"
"86","0.04487032554059521","0.04487032554059521","0.04487032554059521"
"87","0.04455499308194725","0.04455499308194725","0.04455499308194725"
"88","0.044282289288588114","0.044282289288588114","0.044282289288588114"
"91","0.044202400365235636","0.044202400365235636","0.044202400365235636"
"92","0.04377514358879652","0.04377514358879652","0.04377514358879652"
"93","0.04363590558032175","0.04363590558032175","0.04363590558032175"
"94","0.04340937323357961","0.04340937323357961","0.04340937323357961"
"95","0.043150141899730945","0.043150141899730945","0.043150141899730945"
"98","0.04304225024003572","0.04304225024003572","0.04304225024003572"
"99","0.04280903083390744","0.04280903083390744","0.04280903083390744"
"100","0.042626609084234664","0.042626609084234664","0.042626609084234664"
"101","0.04238857162456573","0.04238857162456573","0.04238857162456573"
"102","0.04221810387728149","0.04221810387728149","0.04221810387728149"
"105","0.04213030460507494","0.04213030460507494","0.04213030460507494"
"106","0.04191544756526583","0.04191544756526583","0.04191544756526583"
"107","0.04182783193419708","0.04182783193419708","0.04182783193419708"
"108","0.04175359524873955","0.04175359524873955","0.04175359524873955"
"109","0.04155818266673797","0.04155818266673797","0.04155818266673797"
"112","0.041474667455410535","0.041474667455410535","0.041474667455410535"
"113","0.04136237260136469","0.04136237260136469","0.04136237260136469"
"114","0.04124301214376191","0.04124301214376191","0.04124301214376191"
"115","0.04121012506412375","0.04121012506412375","0.04121012506412375"
"116","0.04102857873324895","0.04102857873324895","0.04102857873324895"
"119","0.04103158925625326","0.04103158925625326","0.04103158925625326"
"120","0.04089227742360588","0.04089227742360588","0.04089227742360588"
"121","0.040830481384831634","0.040830481384831634","0.040830481384831634"
"122","0.04078940592647882","0.04078940592647882","0.04078940592647882"
"123","0.040758685688551975","0.040758685688551975","0.040758685688551975"
"126","0.040714629303204686","0.040714629303204686","0.040714629303204686"
"127","0.04062973705180529","0.04062973705180529","0.04062973705180529"
"128","0.04057840918775815","0.04057840918775815","0.04057840918775815"
"129","0.040613514002696874","0.040613514002696874","0.040613514002696874"
"130","0.040574941401408146","0.040574941401408146","0.040574941401408146"
