"Step","swin_unetr_fold0 - train/total","swin_unetr_fold0 - train/total__MIN","swin_unetr_fold0 - train/total__MAX"
"0","0.1185864026081704","0.1185864026081704","0.1185864026081704"
"1","0.10153144028126485","0.10153144028126485","0.10153144028126485"
"2","0.09839117954569784","0.09839117954569784","0.09839117954569784"
"3","0.09536064410021779","0.09536064410021779","0.09536064410021779"
"4","0.09305573402787055","0.09305573402787055","0.09305573402787055"
"7","0.09212451737406321","0.09212451737406321","0.09212451737406321"
"8","0.09101039309707748","0.09101039309707748","0.09101039309707748"
"9","0.09025090681268023","0.09025090681268023","0.09025090681268023"
"10","0.08919475380093407","0.08919475380093407","0.08919475380093407"
"11","0.08925492582979785","0.08925492582979785","0.08925492582979785"
"14","0.0884323515536191","0.0884323515536191","0.0884323515536191"
"15","0.08715081375388471","0.08715081375388471","0.08715081375388471"
"16","0.08707879827502969","0.08707879827502969","0.08707879827502969"
"17","0.08655886946334726","0.08655886946334726","0.08655886946334726"
"18","0.08650359334484614","0.08650359334484614","0.08650359334484614"
"21","0.08515063172117585","0.08515063172117585","0.08515063172117585"
"22","0.08600629906238609","0.08600629906238609","0.08600629906238609"
"23","0.0850851380657324","0.0850851380657324","0.0850851380657324"
"24","0.08470931955516435","0.08470931955516435","0.08470931955516435"
"25","0.08492770773314294","0.08492770773314294","0.08492770773314294"
"28","0.08315612438933126","0.08315612438933126","0.08315612438933126"
"29","0.08328103405338796","0.08328103405338796","0.08328103405338796"
"30","0.08321734814948979","0.08321734814948979","0.08321734814948979"
"31","0.08279983325280829","0.08279983325280829","0.08279983325280829"
"32","0.0818629554952636","0.0818629554952636","0.0818629554952636"
"35","0.0825156203674725","0.0825156203674725","0.0825156203674725"
"36","0.08127000227114951","0.08127000227114951","0.08127000227114951"
"37","0.08247988921936876","0.08247988921936876","0.08247988921936876"
"38","0.08157282404085517","0.08157282404085517","0.08157282404085517"
"39","0.08135746264914898","0.08135746264914898","0.08135746264914898"
"42","0.08041199846838266","0.08041199846838266","0.08041199846838266"
"43","0.08074357485785694","0.08074357485785694","0.08074357485785694"
"44","0.0799853816977198","0.0799853816977198","0.0799853816977198"
"45","0.0801318854504785","0.0801318854504785","0.0801318854504785"
"46","0.08063502111714091","0.08063502111714091","0.08063502111714091"
"49","0.08023111027709785","0.08023111027709785","0.08023111027709785"
"50","0.08026282540905527","0.08026282540905527","0.08026282540905527"
"51","0.07966326815035855","0.07966326815035855","0.07966326815035855"
"52","0.07903352362059411","0.07903352362059411","0.07903352362059411"
"53","0.07896631264160045","0.07896631264160045","0.07896631264160045"
"56","0.079176987674051","0.079176987674051","0.079176987674051"
"57","0.07872988628344489","0.07872988628344489","0.07872988628344489"
"58","0.07858161358525614","0.07858161358525614","0.07858161358525614"
"59","0.0783658242175654","0.0783658242175654","0.0783658242175654"
"60","0.07808527779801712","0.07808527779801712","0.07808527779801712"
"63","0.07797777452516204","0.07797777452516204","0.07797777452516204"
"64","0.07705067303757389","0.07705067303757389","0.07705067303757389"
"65","0.07776755224651298","0.07776755224651298","0.07776755224651298"
"66","0.07749359920677362","0.07749359920677362","0.07749359920677362"
"67","0.07755981037570607","0.07755981037570607","0.07755981037570607"
"70","0.07726562951260056","0.07726562951260056","0.07726562951260056"
"71","0.07751218879442194","0.07751218879442194","0.07751218879442194"
"72","0.07707407349696407","0.07707407349696407","0.07707407349696407"
"73","0.07675684082777405","0.07675684082777405","0.07675684082777405"
"74","0.07676951683860159","0.07676951683860159","0.07676951683860159"
"77","0.0768782410980303","0.0768782410980303","0.0768782410980303"
"78","0.07634352472634962","0.07634352472634962","0.07634352472634962"
"79","0.07652240197750784","0.07652240197750784","0.07652240197750784"
"80","0.07565295203988041","0.07565295203988041","0.07565295203988041"
"81","0.07643453769075374","0.07643453769075374","0.07643453769075374"
"84","0.07639490259262971","0.07639490259262971","0.07639490259262971"
