"Step","dynunet_fold1 - train/gdl","dynunet_fold1 - train/gdl__MIN","dynunet_fold1 - train/gdl__MAX"
"0","0.014760513071805335","0.014760513071805335","0.014760513071805335"
"1","0.012107351034107613","0.012107351034107613","0.012107351034107613"
"2","0.011899334512846504","0.011899334512846504","0.011899334512846504"
"3","0.011730510845792467","0.011730510845792467","0.011730510845792467"
"4","0.011652188494448622","0.011652188494448622","0.011652188494448622"
"7","0.011550646592652248","0.011550646592652248","0.011550646592652248"
"8","0.011475419195759961","0.011475419195759961","0.011475419195759961"
"9","0.011420012594329685","0.011420012594329685","0.011420012594329685"
"10","0.011381980869440297","0.011381980869440297","0.011381980869440297"
"11","0.011358994909701265","0.011358994909701265","0.011358994909701265"
"14","0.011343946066978326","0.011343946066978326","0.011343946066978326"
"15","0.011348384621984516","0.011348384621984516","0.011348384621984516"
"16","0.01130281857671458","0.01130281857671458","0.01130281857671458"
"17","0.011155633926109382","0.011155633926109382","0.011155633926109382"
"18","0.01124579391431656","0.01124579391431656","0.01124579391431656"
"21","0.011146069666344544","0.011146069666344544","0.011146069666344544"
"22","0.011203097865802893","0.011203097865802893","0.011203097865802893"
"23","0.01105365508678974","0.01105365508678974","0.01105365508678974"
"24","0.011108317001013678","0.011108317001013678","0.011108317001013678"
"25","0.0111308248466167","0.0111308248466167","0.0111308248466167"
"28","0.011095267701117942","0.011095267701117942","0.011095267701117942"
"29","0.011116279828114218","0.011116279828114218","0.011116279828114218"
"30","0.01113161994071246","0.01113161994071246","0.01113161994071246"
"31","0.011012542639678602","0.011012542639678602","0.011012542639678602"
"32","0.011099132695220193","0.011099132695220193","0.011099132695220193"
"35","0.010976477532931786","0.010976477532931786","0.010976477532931786"
"36","0.011122709128086442","0.011122709128086442","0.011122709128086442"
"37","0.011033193579571547","0.011033193579571547","0.011033193579571547"
"38","0.011043943422171186","0.011043943422171186","0.011043943422171186"
"39","0.01099561421268416","0.01099561421268416","0.01099561421268416"
"42","0.010934851512320952","0.010934851512320952","0.010934851512320952"
"43","0.010999904526447982","0.010999904526447982","0.010999904526447982"
"44","0.010934091249336711","0.010934091249336711","0.010934091249336711"
"45","0.01095146082998838","0.01095146082998838","0.01095146082998838"
"46","0.010968341488714705","0.010968341488714705","0.010968341488714705"
"49","0.010936716404008716","0.010936716404008716","0.010936716404008716"
"50","0.010952535123933203","0.010952535123933203","0.010952535123933203"
"51","0.010925981737481777","0.010925981737481777","0.010925981737481777"
"52","0.010856786494478946","0.010856786494478946","0.010856786494478946"
"53","0.010844674073406637","0.010844674073406637","0.010844674073406637"
"56","0.010843673248113096","0.010843673248113096","0.010843673248113096"
"57","0.010878279881281738","0.010878279881281738","0.010878279881281738"
"58","0.010903175829534794","0.010903175829534794","0.010903175829534794"
"59","0.010900992432455996","0.010900992432455996","0.010900992432455996"
"60","0.010856023073288132","0.010856023073288132","0.010856023073288132"
"63","0.010852699100873454","0.010852699100873454","0.010852699100873454"
"64","0.010831669857675105","0.010831669857675105","0.010831669857675105"
"65","0.010858876056587667","0.010858876056587667","0.010858876056587667"
"66","0.010785928975616367","0.010785928975616367","0.010785928975616367"
"67","0.01085652495057572","0.01085652495057572","0.01085652495057572"
"70","0.01080066246151656","0.01080066246151656","0.01080066246151656"
"71","0.010846566866470493","0.010846566866470493","0.010846566866470493"
"72","0.010769093729574757","0.010769093729574757","0.010769093729574757"
"73","0.010715785627082006","0.010715785627082006","0.010715785627082006"
"74","0.010684554034479172","0.010684554034479172","0.010684554034479172"
"77","0.010797751101224736","0.010797751101224736","0.010797751101224736"
"78","0.010784793990231785","0.010784793990231785","0.010784793990231785"
"79","0.01086627052619638","0.01086627052619638","0.01086627052619638"
"80","0.010819362319105817","0.010819362319105817","0.010819362319105817"
"81","0.010743060449614024","0.010743060449614024","0.010743060449614024"
"84","0.010755981233105007","0.010755981233105007","0.010755981233105007"
"85","0.010818399019106957","0.010818399019106957","0.010818399019106957"
"86","0.010696976509996492","0.010696976509996492","0.010696976509996492"
"87","0.010744783602749679","0.010744783602749679","0.010744783602749679"
"88","0.010708607889352028","0.010708607889352028","0.010708607889352028"
"91","0.010796591674544127","0.010796591674544127","0.010796591674544127"
"92","0.010700198231961425","0.010700198231961425","0.010700198231961425"
"93","0.010735243957643942","0.010735243957643942","0.010735243957643942"
"94","0.010639530889920737","0.010639530889920737","0.010639530889920737"
"95","0.010740565565451011","0.010740565565451011","0.010740565565451011"
"98","0.010733280641589217","0.010733280641589217","0.010733280641589217"
"99","0.010606522356145873","0.010606522356145873","0.010606522356145873"
"100","0.010715839333350475","0.010715839333350475","0.010715839333350475"
"101","0.010736514117343963","0.010736514117343963","0.010736514117343963"
"102","0.01072276510876297","0.01072276510876297","0.01072276510876297"
"105","0.010690497003522908","0.010690497003522908","0.010690497003522908"
"106","0.010671563683258112","0.010671563683258112","0.010671563683258112"
"107","0.010628173580076707","0.010628173580076707","0.010628173580076707"
"108","0.0105818897808017","0.0105818897808017","0.0105818897808017"
"109","0.010669555638490187","0.010669555638490187","0.010669555638490187"
"112","0.01069403354162189","0.01069403354162189","0.01069403354162189"
"113","0.010641547314292505","0.010641547314292505","0.010641547314292505"
"114","0.010657352229930033","0.010657352229930033","0.010657352229930033"
"115","0.010620516425026863","0.010620516425026863","0.010620516425026863"
"116","0.010663051048829926","0.010663051048829926","0.010663051048829926"
"119","0.0106603073458151","0.0106603073458151","0.0106603073458151"
"120","0.01064090526111432","0.01064090526111432","0.01064090526111432"
"121","0.010646078188160789","0.010646078188160789","0.010646078188160789"
"122","0.010670296119090605","0.010670296119090605","0.010670296119090605"
"123","0.010591330379650835","0.010591330379650835","0.010591330379650835"
"126","0.01057772059006177","0.01057772059006177","0.01057772059006177"
"127","0.010658501723763085","0.010658501723763085","0.010658501723763085"
"128","0.010646422333648485","0.010646422333648485","0.010646422333648485"
"129","0.010636070994050464","0.010636070994050464","0.010636070994050464"
"130","0.01060652661324253","0.01060652661324253","0.01060652661324253"
"133","0.010531608950779108","0.010531608950779108","0.010531608950779108"
"134","0.010632471471482654","0.010632471471482654","0.010632471471482654"
"135","0.010609513234968995","0.010609513234968995","0.010609513234968995"
"136","0.010619927814922768","0.010619927814922768","0.010619927814922768"
"137","0.010591323127757428","0.010591323127757428","0.010591323127757428"
"140","0.010554133000601188","0.010554133000601188","0.010554133000601188"
"141","0.010561234262788032","0.010561234262788032","0.010561234262788032"
"142","0.010524637703214332","0.010524637703214332","0.010524637703214332"
"143","0.01052388256464609","0.01052388256464609","0.01052388256464609"
"144","0.01053788067177805","0.01053788067177805","0.01053788067177805"
"147","0.010530615266979706","0.010530615266979706","0.010530615266979706"
"148","0.010579119954138261","0.010579119954138261","0.010579119954138261"
"149","0.010555467460741938","0.010555467460741938","0.010555467460741938"
"150","0.010562706088346885","0.010562706088346885","0.010562706088346885"
"151","0.010609477820394972","0.010609477820394972","0.010609477820394972"
"154","0.01058067175929104","0.01058067175929104","0.01058067175929104"
"155","0.010571267285350976","0.010571267285350976","0.010571267285350976"
"156","0.010466203198730905","0.010466203198730905","0.010466203198730905"
"157","0.010578780564796018","0.010578780564796018","0.010578780564796018"
"158","0.010551596993607675","0.010551596993607675","0.010551596993607675"
"161","0.010484102022964145","0.010484102022964145","0.010484102022964145"
"162","0.010559517393559942","0.010559517393559942","0.010559517393559942"
"163","0.010488630890809968","0.010488630890809968","0.010488630890809968"
"164","0.010527773429785786","0.010527773429785786","0.010527773429785786"
"165","0.010517973558764574","0.010517973558764574","0.010517973558764574"
"168","0.010595933495273862","0.010595933495273862","0.010595933495273862"
"169","0.010548984530221598","0.010548984530221598","0.010548984530221598"
"170","0.010526815452260163","0.010526815452260163","0.010526815452260163"
"171","0.010555718424835835","0.010555718424835835","0.010555718424835835"
"172","0.010516721418367304","0.010516721418367304","0.010516721418367304"
"175","0.010534964980496078","0.010534964980496078","0.010534964980496078"
"176","0.010486072113502366","0.010486072113502366","0.010486072113502366"
"177","0.0105464155469503","0.0105464155469503","0.0105464155469503"
"178","0.01047479149089719","0.01047479149089719","0.01047479149089719"
"179","0.010557063678969948","0.010557063678969948","0.010557063678969948"
"182","0.010498258180211266","0.010498258180211266","0.010498258180211266"
"183","0.010528406419451611","0.010528406419451611","0.010528406419451611"
"184","0.010508250238880862","0.010508250238880862","0.010508250238880862"
"185","0.010491098506195728","0.010491098506195728","0.010491098506195728"
"186","0.010507062434579661","0.010507062434579661","0.010507062434579661"
"189","0.01049667088180333","0.01049667088180333","0.01049667088180333"
"190","0.010456183138963649","0.010456183138963649","0.010456183138963649"
"191","0.010494401664206017","0.010494401664206017","0.010494401664206017"
"192","0.010389410644138203","0.010389410644138203","0.010389410644138203"
"193","0.010533539505622014","0.010533539505622014","0.010533539505622014"
"196","0.010569670295682473","0.010569670295682473","0.010569670295682473"
"197","0.01052894665155604","0.01052894665155604","0.01052894665155604"
"198","0.010474493081134127","0.010474493081134127","0.010474493081134127"
"199","0.010468089426676158","0.010468089426676158","0.010468089426676158"
"200","0.010544976306342402","0.010544976306342402","0.010544976306342402"
"203","0.01054459757857464","0.01054459757857464","0.01054459757857464"
"204","0.010496764027793766","0.010496764027793766","0.010496764027793766"
"205","0.010508407571164537","0.010508407571164537","0.010508407571164537"
"206","0.010530087252090044","0.010530087252090044","0.010530087252090044"
"207","0.010614363631728465","0.010614363631728465","0.010614363631728465"
