"Step","swin_unetr_fold2 - train/total","swin_unetr_fold2 - train/total__MIN","swin_unetr_fold2 - train/total__MAX"
"0","0.11619683800192622","0.11619683800192622","0.11619683800192622"
"1","0.10167931134558537","0.10167931134558537","0.10167931134558537"
"2","0.09781627977786997","0.09781627977786997","0.09781627977786997"
"3","0.09547752202428006","0.09547752202428006","0.09547752202428006"
"4","0.09307959421187059","0.09307959421187059","0.09307959421187059"
"7","0.0924961278880281","0.0924961278880281","0.0924961278880281"
"8","0.09094554702932765","0.09094554702932765","0.09094554702932765"
"9","0.09043596942356719","0.09043596942356719","0.09043596942356719"
"10","0.08914764715334425","0.08914764715334425","0.08914764715334425"
"11","0.08894640391388126","0.08894640391388126","0.08894640391388126"
"14","0.08830105523211938","0.08830105523211938","0.08830105523211938"
"15","0.08702570337044212","0.08702570337044212","0.08702570337044212"
"16","0.08648918726525846","0.08648918726525846","0.08648918726525846"
"17","0.0861379902021661","0.0861379902021661","0.0861379902021661"
"18","0.08619275595967606","0.08619275595967606","0.08619275595967606"
"21","0.08441368595080136","0.08441368595080136","0.08441368595080136"
"22","0.08492856220547836","0.08492856220547836","0.08492856220547836"
"23","0.08409934636362672","0.08409934636362672","0.08409934636362672"
"24","0.084194073997825","0.084194073997825","0.084194073997825"
"25","0.08369412800111684","0.08369412800111684","0.08369412800111684"
"28","0.08362070473769752","0.08362070473769752","0.08362070473769752"
"29","0.08337990226812693","0.08337990226812693","0.08337990226812693"
"30","0.08245335441502012","0.08245335441502012","0.08245335441502012"
"31","0.0826496506508972","0.0826496506508972","0.0826496506508972"
"32","0.08245704815928619","0.08245704815928619","0.08245704815928619"
"35","0.08125615120337253","0.08125615120337253","0.08125615120337253"
"36","0.0814702823119101","0.0814702823119101","0.0814702823119101"
"37","0.08069475274331449","0.08069475274331449","0.08069475274331449"
"38","0.08059119017294798","0.08059119017294798","0.08059119017294798"
"39","0.08088103451907687","0.08088103451907687","0.08088103451907687"
"42","0.08064736809291236","0.08064736809291236","0.08064736809291236"
"43","0.08062038648555063","0.08062038648555063","0.08062038648555063"
"44","0.07935982416242812","0.07935982416242812","0.07935982416242812"
"45","0.07982879044166544","0.07982879044166544","0.07982879044166544"
"46","0.07990872467872062","0.07990872467872062","0.07990872467872062"
"49","0.07972727939426028","0.07972727939426028","0.07972727939426028"
"50","0.07883193237642512","0.07883193237642512","0.07883193237642512"
"51","0.07909825226005764","0.07909825226005764","0.07909825226005764"
"52","0.07915388698991009","0.07915388698991009","0.07915388698991009"
