"Step","round2_unet2d_fold0 - train/total","round2_unet2d_fold0 - train/total__MIN","round2_unet2d_fold0 - train/total__MAX"
"0","0.32861790667056096","0.32861790667056096","0.32861790667056096"
"1","0.2826017035399619","0.2826017035399619","0.2826017035399619"
"2","0.26505953954024747","0.26505953954024747","0.26505953954024747"
"3","0.25609981561955725","0.25609981561955725","0.25609981561955725"
"4","0.25051909286985286","0.25051909286985286","0.25051909286985286"
"7","0.24505610103045292","0.24505610103045292","0.24505610103045292"
"8","0.2415762559654331","0.2415762559654331","0.2415762559654331"
"9","0.23948862393324083","0.23948862393324083","0.23948862393324083"
"10","0.23639583753296745","0.23639583753296745","0.23639583753296745"
"11","0.23407335820876563","0.23407335820876563","0.23407335820876563"
"14","0.2318056117596009","0.2318056117596009","0.2318056117596009"
"15","0.22966942343963936","0.22966942343963936","0.22966942343963936"
"16","0.22831392027584932","0.22831392027584932","0.22831392027584932"
"17","0.22672212650123322","0.22672212650123322","0.22672212650123322"
"18","0.2256544984700416","0.2256544984700416","0.2256544984700416"
"21","0.223827946480555","0.223827946480555","0.223827946480555"
"22","0.22272252072635376","0.22272252072635376","0.22272252072635376"
"23","0.22064250581290412","0.22064250581290412","0.22064250581290412"
"24","0.21948314553988074","0.21948314553988074","0.21948314553988074"
"25","0.21802289971102604","0.21802289971102604","0.21802289971102604"
"28","0.21727107624438677","0.21727107624438677","0.21727107624438677"
"29","0.21668134262056454","0.21668134262056454","0.21668134262056454"
"30","0.21482005504515803","0.21482005504515803","0.21482005504515803"
"31","0.21315542195036477","0.21315542195036477","0.21315542195036477"
"32","0.21219497220112166","0.21219497220112166","0.21219497220112166"
"35","0.21097834988059144","0.21097834988059144","0.21097834988059144"
"36","0.20962799456662576","0.20962799456662576","0.20962799456662576"
"37","0.20837506878487913","0.20837506878487913","0.20837506878487913"
"38","0.20694586623887065","0.20694586623887065","0.20694586623887065"
"39","0.2059054395220732","0.2059054395220732","0.2059054395220732"
"42","0.20405959932229265","0.20405959932229265","0.20405959932229265"
"43","0.20288134126780416","0.20288134126780416","0.20288134126780416"
"44","0.20170280424502526","0.20170280424502526","0.20170280424502526"
"45","0.20050567016079138","0.20050567016079138","0.20050567016079138"
"46","0.19916847471015256","0.19916847471015256","0.19916847471015256"
"49","0.19718984741673404","0.19718984741673404","0.19718984741673404"
"50","0.19538036854091015","0.19538036854091015","0.19538036854091015"
"51","0.19443387992518105","0.19443387992518105","0.19443387992518105"
"52","0.19363963780446133","0.19363963780446133","0.19363963780446133"
"53","0.19180574323466645","0.19180574323466645","0.19180574323466645"
"56","0.19018307101467383","0.19018307101467383","0.19018307101467383"
"57","0.1890102284875783","0.1890102284875783","0.1890102284875783"
"58","0.18679400270974095","0.18679400270974095","0.18679400270974095"
"59","0.18579040241424039","0.18579040241424039","0.18579040241424039"
"60","0.18393497326790462","0.18393497326790462","0.18393497326790462"
"63","0.18250044522726017","0.18250044522726017","0.18250044522726017"
"64","0.18154257508105204","0.18154257508105204","0.18154257508105204"
"65","0.17953808412412292","0.17953808412412292","0.17953808412412292"
"66","0.17828771242128294","0.17828771242128294","0.17828771242128294"
"67","0.17693623648330628","0.17693623648330628","0.17693623648330628"
"70","0.17583572857759217","0.17583572857759217","0.17583572857759217"
"71","0.17357589137471713","0.17357589137471713","0.17357589137471713"
"72","0.17255970036294385","0.17255970036294385","0.17255970036294385"
"73","0.1710036296316463","0.1710036296316463","0.1710036296316463"
"74","0.16973589401059","0.16973589401059","0.16973589401059"
"77","0.16831914268124834","0.16831914268124834","0.16831914268124834"
"78","0.16669013581198194","0.16669013581198194","0.16669013581198194"
"79","0.1653041325789313","0.1653041325789313","0.1653041325789313"
"80","0.16470715519143894","0.16470715519143894","0.16470715519143894"
"81","0.16323230613626746","0.16323230613626746","0.16323230613626746"
"84","0.16198451723167195","0.16198451723167195","0.16198451723167195"
"85","0.16070549809134643","0.16070549809134643","0.16070549809134643"
"86","0.15928432141161955","0.15928432141161955","0.15928432141161955"
"87","0.15832240913401951","0.15832240913401951","0.15832240913401951"
"88","0.1572207637226923","0.1572207637226923","0.1572207637226923"
"91","0.15633546095341444","0.15633546095341444","0.15633546095341444"
"92","0.15513348012367492","0.15513348012367492","0.15513348012367492"
"93","0.15417869401941067","0.15417869401941067","0.15417869401941067"
"94","0.1534623164197673","0.1534623164197673","0.1534623164197673"
"95","0.15234746365060683","0.15234746365060683","0.15234746365060683"
"98","0.15148713235106512","0.15148713235106512","0.15148713235106512"
"99","0.1506632128811401","0.1506632128811401","0.1506632128811401"
"100","0.14973997666165528","0.14973997666165528","0.14973997666165528"
"101","0.14931044767172677","0.14931044767172677","0.14931044767172677"
"102","0.14826959241991458","0.14826959241991458","0.14826959241991458"
"105","0.14776324517141454","0.14776324517141454","0.14776324517141454"
"106","0.14699699546950373","0.14699699546950373","0.14699699546950373"
"107","0.14625331240636205","0.14625331240636205","0.14625331240636205"
"108","0.14557235999982585","0.14557235999982585","0.14557235999982585"
"109","0.14538189562059675","0.14538189562059675","0.14538189562059675"
"112","0.14475561053944908","0.14475561053944908","0.14475561053944908"
"113","0.1442011321309527","0.1442011321309527","0.1442011321309527"
"114","0.14388423782475146","0.14388423782475146","0.14388423782475146"
"115","0.14343920063315763","0.14343920063315763","0.14343920063315763"
"116","0.14293318222251097","0.14293318222251097","0.14293318222251097"
"119","0.1425194583119081","0.1425194583119081","0.1425194583119081"
"120","0.1421894617260916","0.1421894617260916","0.1421894617260916"
"121","0.141848711732024","0.141848711732024","0.141848711732024"
"122","0.14162548991811016","0.14162548991811016","0.14162548991811016"
"123","0.14153852050630708","0.14153852050630708","0.14153852050630708"
"126","0.14120582948280536","0.14120582948280536","0.14120582948280536"
"127","0.14125679592959023","0.14125679592959023","0.14125679592959023"
"128","0.14107831713666205","0.14107831713666205","0.14107831713666205"
"129","0.14089791208299488","0.14089791208299488","0.14089791208299488"
"130","0.14069452122766746","0.14069452122766746","0.14069452122766746"
"133","0.14060015753721414","0.14060015753721414","0.14060015753721414"
"134","0.14054546545336957","0.14054546545336957","0.14054546545336957"
"135","0.14045043053996303","0.14045043053996303","0.14045043053996303"
"136","0.14038317186809457","0.14038317186809457","0.14038317186809457"
"137","0.1406154519543346","0.1406154519543346","0.1406154519543346"
