"Step","swin_unetr_fold2 - train/mae","swin_unetr_fold2 - train/mae__MIN","swin_unetr_fold2 - train/mae__MAX"
"0","0.10242003228644402","0.10242003228644402","0.10242003228644402"
"1","0.08929357634558951","0.08929357634558951","0.08929357634558951"
"2","0.08573192406296569","0.08573192406296569","0.08573192406296569"
"3","0.0834907953339141","0.0834907953339141","0.0834907953339141"
"4","0.08117407263363449","0.08117407263363449","0.08117407263363449"
"7","0.08059748175989401","0.08059748175989401","0.08059748175989401"
"8","0.07907778956197621","0.07907778956197621","0.07907778956197621"
"9","0.07861249790188264","0.07861249790188264","0.07861249790188264"
"10","0.07733339870356636","0.07733339870356636","0.07733339870356636"
"11","0.07722352449661242","0.07722352449661242","0.07722352449661242"
"14","0.07657467826164743","0.07657467826164743","0.07657467826164743"
"15","0.07530085304026286","0.07530085304026286","0.07530085304026286"
"16","0.07482570730294887","0.07482570730294887","0.07482570730294887"
"17","0.0744691444056923","0.0744691444056923","0.0744691444056923"
"18","0.07452038471278073","0.07452038471278073","0.07452038471278073"
"21","0.07285968710878034","0.07285968710878034","0.07285968710878034"
"22","0.07328497271408282","0.07328497271408282","0.07328497271408282"
"23","0.07247373190087576","0.07247373190087576","0.07247373190087576"
"24","0.07264185720828897","0.07264185720828897","0.07264185720828897"
"25","0.07212772816762296","0.07212772816762296","0.07212772816762296"
"28","0.0720706409865434","0.0720706409865434","0.0720706409865434"
"29","0.07180984451806423","0.07180984451806423","0.07180984451806423"
"30","0.07097699774645402","0.07097699774645402","0.07097699774645402"
"31","0.07117347437908543","0.07117347437908543","0.07117347437908543"
"32","0.07103671296197292","0.07103671296197292","0.07103671296197292"
"35","0.06977193611291","0.06977193611291","0.06977193611291"
"36","0.06997347116022819","0.06997347116022819","0.06997347116022819"
"37","0.06934035369759482","0.06934035369759482","0.06934035369759482"
"38","0.06922319151654646","0.06922319151654646","0.06922319151654646"
"39","0.06945892560965211","0.06945892560965211","0.06945892560965211"
"42","0.06924945064235753","0.06924945064235753","0.06924945064235753"
"43","0.06914271582250617","0.06914271582250617","0.06914271582250617"
"44","0.06806687790461013","0.06806687790461013","0.06806687790461013"
"45","0.06844117416439828","0.06844117416439828","0.06844117416439828"
"46","0.0684854505730801","0.0684854505730801","0.0684854505730801"
"49","0.06838853232606891","0.06838853232606891","0.06838853232606891"
"50","0.06747566408541222","0.06747566408541222","0.06747566408541222"
"51","0.06774005225609617","0.06774005225609617","0.06774005225609617"
"52","0.06786862839223995","0.06786862839223995","0.06786862839223995"
"53","0.06755517412569713","0.06755517412569713","0.06755517412569713"
"56","0.06725107927330935","0.06725107927330935","0.06725107927330935"
"57","0.0676166944929451","0.0676166944929451","0.0676166944929451"
"58","0.06762406096624379","0.06762406096624379","0.06762406096624379"
"59","0.06631923994871897","0.06631923994871897","0.06631923994871897"
"60","0.06669462684570163","0.06669462684570163","0.06669462684570163"
"63","0.06645710030227932","0.06645710030227932","0.06645710030227932"
"64","0.06608211758417516","0.06608211758417516","0.06608211758417516"
"65","0.06604586894980741","0.06604586894980741","0.06604586894980741"
"66","0.06639807769077229","0.06639807769077229","0.06639807769077229"
"67","0.06582414701762931","0.06582414701762931","0.06582414701762931"
"70","0.06600084211233825","0.06600084211233825","0.06600084211233825"
"71","0.06659631181439764","0.06659631181439764","0.06659631181439764"
"72","0.06574136530274921","0.06574136530274921","0.06574136530274921"
"73","0.06514380170733898","0.06514380170733898","0.06514380170733898"
"74","0.06473836896223423","0.06473836896223423","0.06473836896223423"
"77","0.06506448497217616","0.06506448497217616","0.06506448497217616"
"78","0.06577652234793742","0.06577652234793742","0.06577652234793742"
"79","0.06570677910286336","0.06570677910286336","0.06570677910286336"
"80","0.0653756143816533","0.0653756143816533","0.0653756143816533"
"81","0.06520309082829107","0.06520309082829107","0.06520309082829107"
"84","0.06423520800572904","0.06423520800572904","0.06423520800572904"
"85","0.06445729261308554","0.06445729261308554","0.06445729261308554"
"86","0.06438335994746358","0.06438335994746358","0.06438335994746358"
"87","0.06414953553071447","0.06414953553071447","0.06414953553071447"
"88","0.06440524924349934","0.06440524924349934","0.06440524924349934"
"91","0.06450770953287133","0.06450770953287133","0.06450770953287133"
"92","0.06422719770832817","0.06422719770832817","0.06422719770832817"
"93","0.06430286411760432","0.06430286411760432","0.06430286411760432"
"94","0.06408996074924092","0.06408996074924092","0.06408996074924092"
"95","0.06435355953408559","0.06435355953408559","0.06435355953408559"
"98","0.06454634898769553","0.06454634898769553","0.06454634898769553"
"99","0.06352106415267501","0.06352106415267501","0.06352106415267501"
"100","0.06363874389709365","0.06363874389709365","0.06363874389709365"
"101","0.06388175577223623","0.06388175577223623","0.06388175577223623"
"102","0.06337969633549033","0.06337969633549033","0.06337969633549033"
"105","0.06334628167993579","0.06334628167993579","0.06334628167993579"
"106","0.06346325849352236","0.06346325849352236","0.06346325849352236"
"107","0.06364254785391192","0.06364254785391192","0.06364254785391192"
"108","0.0634917453066466","0.0634917453066466","0.0634917453066466"
"109","0.06348471081104065","0.06348471081104065","0.06348471081104065"
"112","0.06294211980209431","0.06294211980209431","0.06294211980209431"
"113","0.062378727073994875","0.062378727073994875","0.062378727073994875"
"114","0.06320653111498513","0.06320653111498513","0.06320653111498513"
"115","0.06299464872461699","0.06299464872461699","0.06299464872461699"
"116","0.06294707567088338","0.06294707567088338","0.06294707567088338"
"119","0.06252647932211655","0.06252647932211655","0.06252647932211655"
"120","0.06246325284549039","0.06246325284549039","0.06246325284549039"
"121","0.06235443870536983","0.06235443870536983","0.06235443870536983"
"122","0.06218173609667526","0.06218173609667526","0.06218173609667526"
"123","0.06225202280576482","0.06225202280576482","0.06225202280576482"
"126","0.0621313182415352","0.0621313182415352","0.0621313182415352"
"127","0.06247731851357402","0.06247731851357402","0.06247731851357402"
"128","0.06229056121511344","0.06229056121511344","0.06229056121511344"
"129","0.06248395515654188","0.06248395515654188","0.06248395515654188"
"130","0.06234405389019324","0.06234405389019324","0.06234405389019324"
"133","0.06191326561182318","0.06191326561182318","0.06191326561182318"
"134","0.061980616668434775","0.061980616668434775","0.061980616668434775"
"135","0.061735471535687744","0.061735471535687744","0.061735471535687744"
"136","0.06213595518261271","0.06213595518261271","0.06213595518261271"
"137","0.06121196641961669","0.06121196641961669","0.06121196641961669"
"140","0.06148716659805217","0.06148716659805217","0.06148716659805217"
"141","0.06203630416970539","0.06203630416970539","0.06203630416970539"
"142","0.062435692256856794","0.062435692256856794","0.062435692256856794"
"143","0.061324810372359116","0.061324810372359116","0.061324810372359116"
"144","0.06169175986075588","0.06169175986075588","0.06169175986075588"
"147","0.06112360763484491","0.06112360763484491","0.06112360763484491"
"148","0.06203275951617337","0.06203275951617337","0.06203275951617337"
"149","0.06117945493831908","0.06117945493831908","0.06117945493831908"
"150","0.06192893397921769","0.06192893397921769","0.06192893397921769"
"151","0.06173036731295772","0.06173036731295772","0.06173036731295772"
"154","0.06073607754786761","0.06073607754786761","0.06073607754786761"
"155","0.061299196707520195","0.061299196707520195","0.061299196707520195"
