"Step","dynunet_fold4 - train/mae","dynunet_fold4 - train/mae__MIN","dynunet_fold4 - train/mae__MAX"
"0","0.10210321789012003","0.10210321789012003","0.10210321789012003"
"1","0.08677957726332719","0.08677957726332719","0.08677957726332719"
"2","0.08241355212779462","0.08241355212779462","0.08241355212779462"
"3","0.07928860282372546","0.07928860282372546","0.07928860282372546"
"4","0.07640519135050299","0.07640519135050299","0.07640519135050299"
"7","0.0751587210321642","0.0751587210321642","0.0751587210321642"
"8","0.07400033288568934","0.07400033288568934","0.07400033288568934"
"9","0.07309940802013867","0.07309940802013867","0.07309940802013867"
"10","0.07110784765743786","0.07110784765743786","0.07110784765743786"
"11","0.0701178166397785","0.0701178166397785","0.0701178166397785"
"14","0.06894900525676702","0.06894900525676702","0.06894900525676702"
"15","0.06900870044098173","0.06900870044098173","0.06900870044098173"
"16","0.0678120249848145","0.0678120249848145","0.0678120249848145"
"17","0.0678389321461513","0.0678389321461513","0.0678389321461513"
"18","0.0668375801785847","0.0668375801785847","0.0668375801785847"
"21","0.0664284858104537","0.0664284858104537","0.0664284858104537"
"22","0.06581613052230063","0.06581613052230063","0.06581613052230063"
"23","0.06546499991093482","0.06546499991093482","0.06546499991093482"
"24","0.06517506584315913","0.06517506584315913","0.06517506584315913"
"25","0.0649853056556252","0.0649853056556252","0.0649853056556252"
"28","0.06370448307828178","0.06370448307828178","0.06370448307828178"
"29","0.06493635112359379","0.06493635112359379","0.06493635112359379"
"30","0.06390796638884406","0.06390796638884406","0.06390796638884406"
"31","0.06312052867843992","0.06312052867843992","0.06312052867843992"
"32","0.06300826579911663","0.06300826579911663","0.06300826579911663"
"35","0.06280476212517618","0.06280476212517618","0.06280476212517618"
"36","0.06320778954649428","0.06320778954649428","0.06320778954649428"
"37","0.06297720887710302","0.06297720887710302","0.06297720887710302"
"38","0.062449915020788976","0.062449915020788976","0.062449915020788976"
"39","0.06234365031545575","0.06234365031545575","0.06234365031545575"
"42","0.062272511905393124","0.062272511905393124","0.062272511905393124"
"43","0.061983295780713175","0.061983295780713175","0.061983295780713175"
"44","0.06185490135143694","0.06185490135143694","0.06185490135143694"
"45","0.06120411133128128","0.06120411133128128","0.06120411133128128"
"46","0.06091507360013303","0.06091507360013303","0.06091507360013303"
"49","0.0607328813344031","0.0607328813344031","0.0607328813344031"
"50","0.06087214300875626","0.06087214300875626","0.06087214300875626"
"51","0.06076457931762702","0.06076457931762702","0.06076457931762702"
"52","0.06079179802346275","0.06079179802346275","0.06079179802346275"
"53","0.0613439900807626","0.0613439900807626","0.0613439900807626"
"56","0.05999116439645864","0.05999116439645864","0.05999116439645864"
"57","0.06007641667628874","0.06007641667628874","0.06007641667628874"
"58","0.060316237503336846","0.060316237503336846","0.060316237503336846"
"59","0.059840733187421995","0.059840733187421995","0.059840733187421995"
"60","0.06016104638910416","0.06016104638910416","0.06016104638910416"
"63","0.0589459474303118","0.0589459474303118","0.0589459474303118"
"64","0.05918006614236801","0.05918006614236801","0.05918006614236801"
"65","0.05878130641773938","0.05878130641773938","0.05878130641773938"
"66","0.05872761080596795","0.05872761080596795","0.05872761080596795"
"67","0.05882104564373649","0.05882104564373649","0.05882104564373649"
"70","0.059061615128416095","0.059061615128416095","0.059061615128416095"
"71","0.058662059489581295","0.058662059489581295","0.058662059489581295"
"72","0.05863280440670625","0.05863280440670625","0.05863280440670625"
"73","0.0587022930029659","0.0587022930029659","0.0587022930029659"
"74","0.058320203560809795","0.058320203560809795","0.058320203560809795"
"77","0.05887399556605069","0.05887399556605069","0.05887399556605069"
"78","0.058066405088904254","0.058066405088904254","0.058066405088904254"
"79","0.057852588866140336","0.057852588866140336","0.057852588866140336"
"80","0.05828105111605916","0.05828105111605916","0.05828105111605916"
"81","0.058411708530581696","0.058411708530581696","0.058411708530581696"
"84","0.05864088435216805","0.05864088435216805","0.05864088435216805"
"85","0.05714934159544966","0.05714934159544966","0.05714934159544966"
"86","0.057461068370091864","0.057461068370091864","0.057461068370091864"
"87","0.0577202116708235","0.0577202116708235","0.0577202116708235"
"88","0.057659665873921906","0.057659665873921906","0.057659665873921906"
"91","0.057702930507875706","0.057702930507875706","0.057702930507875706"
"92","0.05757944817910248","0.05757944817910248","0.05757944817910248"
"93","0.057509160021291826","0.057509160021291826","0.057509160021291826"
"94","0.05661299054010029","0.05661299054010029","0.05661299054010029"
"95","0.056989458321189394","0.056989458321189394","0.056989458321189394"
"98","0.056765698649785756","0.056765698649785756","0.056765698649785756"
"99","0.0571393277465927","0.0571393277465927","0.0571393277465927"
"100","0.05654583117254802","0.05654583117254802","0.05654583117254802"
"101","0.05646592524298919","0.05646592524298919","0.05646592524298919"
"102","0.05676824854562144","0.05676824854562144","0.05676824854562144"
"105","0.0563858769078222","0.0563858769078222","0.0563858769078222"
"106","0.05604800758943702","0.05604800758943702","0.05604800758943702"
"107","0.056700201760414286","0.056700201760414286","0.056700201760414286"
"108","0.05625819565137933","0.05625819565137933","0.05625819565137933"
"109","0.05568860074883371","0.05568860074883371","0.05568860074883371"
"112","0.05597324732421509","0.05597324732421509","0.05597324732421509"
"113","0.05601509729979588","0.05601509729979588","0.05601509729979588"
"114","0.05563686098038474","0.05563686098038474","0.05563686098038474"
"115","0.05623804002227845","0.05623804002227845","0.05623804002227845"
"116","0.05530839367944659","0.05530839367944659","0.05530839367944659"
"119","0.05582036179456192","0.05582036179456192","0.05582036179456192"
"120","0.05585984504715284","0.05585984504715284","0.05585984504715284"
"121","0.05526381017777329","0.05526381017777329","0.05526381017777329"
"122","0.05533489640440076","0.05533489640440076","0.05533489640440076"
"123","0.055432945290745335","0.055432945290745335","0.055432945290745335"
"126","0.05468308803732014","0.05468308803732014","0.05468308803732014"
"127","0.05519728079241083","0.05519728079241083","0.05519728079241083"
"128","0.05489040426728889","0.05489040426728889","0.05489040426728889"
"129","0.05524606228007515","0.05524606228007515","0.05524606228007515"
"130","0.054629707993581474","0.054629707993581474","0.054629707993581474"
"133","0.05524142097669692","0.05524142097669692","0.05524142097669692"
"134","0.055091269351250326","0.055091269351250326","0.055091269351250326"
"135","0.05500508363199768","0.05500508363199768","0.05500508363199768"
"136","0.05453899433860479","0.05453899433860479","0.05453899433860479"
"137","0.05476134402886612","0.05476134402886612","0.05476134402886612"
"140","0.05483116619751566","0.05483116619751566","0.05483116619751566"
"141","0.054840367587110264","0.054840367587110264","0.054840367587110264"
"142","0.0538346067932887","0.0538346067932887","0.0538346067932887"
"143","0.05377049197046314","0.05377049197046314","0.05377049197046314"
"144","0.05461314653064533","0.05461314653064533","0.05461314653064533"
"147","0.05418174964696125","0.05418174964696125","0.05418174964696125"
"148","0.05457023676981663","0.05457023676981663","0.05457023676981663"
"149","0.05418963120349122","0.05418963120349122","0.05418963120349122"
"150","0.05395347670124961","0.05395347670124961","0.05395347670124961"
"151","0.053897438244994725","0.053897438244994725","0.053897438244994725"
"154","0.053659506213547536","0.053659506213547536","0.053659506213547536"
"155","0.05401498069229876","0.05401498069229876","0.05401498069229876"
"156","0.05356412386968249","0.05356412386968249","0.05356412386968249"
"157","0.05390230004050111","0.05390230004050111","0.05390230004050111"
"158","0.05416959808781325","0.05416959808781325","0.05416959808781325"
"161","0.053752538342769086","0.053752538342769086","0.053752538342769086"
"162","0.05388338824474609","0.05388338824474609","0.05388338824474609"
"163","0.053838773184007364","0.053838773184007364","0.053838773184007364"
"164","0.053653331278354637","0.053653331278354637","0.053653331278354637"
"165","0.05368930129153296","0.05368930129153296","0.05368930129153296"
"168","0.0535961294250782","0.0535961294250782","0.0535961294250782"
"169","0.05378815103181463","0.05378815103181463","0.05378815103181463"
"170","0.05362017117299896","0.05362017117299896","0.05362017117299896"
"171","0.05379941885472229","0.05379941885472229","0.05379941885472229"
"172","0.05320146273153776","0.05320146273153776","0.05320146273153776"
"175","0.05332544196465457","0.05332544196465457","0.05332544196465457"
"176","0.05342249226048348","0.05342249226048348","0.05342249226048348"
"177","0.05353307433840748","0.05353307433840748","0.05353307433840748"
"178","0.05328089419800635","0.05328089419800635","0.05328089419800635"
"179","0.05354933588429642","0.05354933588429642","0.05354933588429642"
"182","0.05362794610931182","0.05362794610931182","0.05362794610931182"
"183","0.05321873732908884","0.05321873732908884","0.05321873732908884"
"184","0.053756311915002235","0.053756311915002235","0.053756311915002235"
"185","0.05342922285782499","0.05342922285782499","0.05342922285782499"
"186","0.053497886054492384","0.053497886054492384","0.053497886054492384"
"189","0.053104478170890076","0.053104478170890076","0.053104478170890076"
"190","0.05313316972251905","0.05313316972251905","0.05313316972251905"
"191","0.05389540964640983","0.05389540964640983","0.05389540964640983"
"192","0.05351754687686268","0.05351754687686268","0.05351754687686268"
"193","0.053718803003410254","0.053718803003410254","0.053718803003410254"
"196","0.0532166940023314","0.0532166940023314","0.0532166940023314"
"197","0.0531115153518789","0.0531115153518789","0.0531115153518789"
"198","0.05308577064982943","0.05308577064982943","0.05308577064982943"
"199","0.05303432418789803","0.05303432418789803","0.05303432418789803"
"200","0.05278847510167086","0.05278847510167086","0.05278847510167086"
"203","0.0529753591550502","0.0529753591550502","0.0529753591550502"
"204","0.05352967008058239","0.05352967008058239","0.05352967008058239"
"205","0.053271558158880114","0.053271558158880114","0.053271558158880114"
"206","0.0528977556811891","0.0528977556811891","0.0528977556811891"
"207","0.05338045005378822","0.05338045005378822","0.05338045005378822"
