"Step","swin_unetr_fold3 - train/gdl","swin_unetr_fold3 - train/gdl__MIN","swin_unetr_fold3 - train/gdl__MAX"
"0","0.013650535625208482","0.013650535625208482","0.013650535625208482"
"1","0.012289850329668473","0.012289850329668473","0.012289850329668473"
"2","0.012127047790602637","0.012127047790602637","0.012127047790602637"
"3","0.011986919768887811","0.011986919768887811","0.011986919768887811"
"4","0.011921668438025656","0.011921668438025656","0.011921668438025656"
"7","0.012011651333409399","0.012011651333409399","0.012011651333409399"
"8","0.0119869320876655","0.0119869320876655","0.0119869320876655"
"9","0.011885472101644165","0.011885472101644165","0.011885472101644165"
"10","0.011851985457596685","0.011851985457596685","0.011851985457596685"
"11","0.011851047760340312","0.011851047760340312","0.011851047760340312"
"14","0.011749366941242267","0.011749366941242267","0.011749366941242267"
"15","0.011804949419550823","0.011804949419550823","0.011804949419550823"
"16","0.011783376592060564","0.011783376592060564","0.011783376592060564"
"17","0.011644389592178998","0.011644389592178998","0.011644389592178998"
"18","0.011732085977534707","0.011732085977534707","0.011732085977534707"
"21","0.011674007409167743","0.011674007409167743","0.011674007409167743"
"22","0.011623830720078256","0.011623830720078256","0.011623830720078256"
"23","0.01159013311122695","0.01159013311122695","0.01159013311122695"
"24","0.011632885073727001","0.011632885073727001","0.011632885073727001"
"25","0.011608924755809494","0.011608924755809494","0.011608924755809494"
"28","0.011612283892262744","0.011612283892262744","0.011612283892262744"
"29","0.011662637041647845","0.011662637041647845","0.011662637041647845"
"30","0.011516083308222017","0.011516083308222017","0.011516083308222017"
"31","0.011480980982941617","0.011480980982941617","0.011480980982941617"
"32","0.011468499272078131","0.011468499272078131","0.011468499272078131"
"35","0.011483097328129577","0.011483097328129577","0.011483097328129577"
"36","0.011469813078449794","0.011469813078449794","0.011469813078449794"
"37","0.011496413563736202","0.011496413563736202","0.011496413563736202"
"38","0.011442547322390575","0.011442547322390575","0.011442547322390575"
"39","0.011471664824277378","0.011471664824277378","0.011471664824277378"
"42","0.01146093189560951","0.01146093189560951","0.01146093189560951"
"43","0.011411377463890059","0.011411377463890059","0.011411377463890059"
"44","0.011422445322236059","0.011422445322236059","0.011422445322236059"
"45","0.011381419183566692","0.011381419183566692","0.011381419183566692"
"46","0.01143666070352407","0.01143666070352407","0.01143666070352407"
"49","0.011438080731836664","0.011438080731836664","0.011438080731836664"
"50","0.011419394756819435","0.011419394756819435","0.011419394756819435"
"51","0.011350708444890431","0.011350708444890431","0.011350708444890431"
"52","0.011332035663368715","0.011332035663368715","0.011332035663368715"
"53","0.011366242449454054","0.011366242449454054","0.011366242449454054"
"56","0.011386694780477477","0.011386694780477477","0.011386694780477477"
"57","0.011362403992273831","0.011362403992273831","0.011362403992273831"
"58","0.011357432714820342","0.011357432714820342","0.011357432714820342"
"59","0.011306996995353867","0.011306996995353867","0.011306996995353867"
"60","0.011304111013889964","0.011304111013889964","0.011304111013889964"
"63","0.011236417788049693","0.011236417788049693","0.011236417788049693"
"64","0.011244732796035498","0.011244732796035498","0.011244732796035498"
"65","0.011296936974872798","0.011296936974872798","0.011296936974872798"
"66","0.011288212588133359","0.011288212588133359","0.011288212588133359"
"67","0.011310553236273127","0.011310553236273127","0.011310553236273127"
"70","0.011256359443023245","0.011256359443023245","0.011256359443023245"
"71","0.011323997093873505","0.011323997093873505","0.011323997093873505"
"72","0.011300325389528047","0.011300325389528047","0.011300325389528047"
"73","0.011230174956071847","0.011230174956071847","0.011230174956071847"
"74","0.011296148115485408","0.011296148115485408","0.011296148115485408"
"77","0.011224111130126183","0.011224111130126183","0.011224111130126183"
"78","0.011226060238041258","0.011226060238041258","0.011226060238041258"
"79","0.011311131887053407","0.011311131887053407","0.011311131887053407"
"80","0.011171747946754183","0.011171747946754183","0.011171747946754183"
"81","0.01122842928940042","0.01122842928940042","0.01122842928940042"
"84","0.011297710382577724","0.011297710382577724","0.011297710382577724"
"85","0.011143321946960296","0.011143321946960296","0.011143321946960296"
"86","0.011148659532767023","0.011148659532767023","0.011148659532767023"
"87","0.011117911694564336","0.011117911694564336","0.011117911694564336"
"88","0.011140952993095822","0.011140952993095822","0.011140952993095822"
"91","0.011201907322665608","0.011201907322665608","0.011201907322665608"
"92","0.01124114979178691","0.01124114979178691","0.01124114979178691"
"93","0.011178407893761526","0.011178407893761526","0.011178407893761526"
"94","0.011166957874714998","0.011166957874714998","0.011166957874714998"
"95","0.011176894112393566","0.011176894112393566","0.011176894112393566"
"98","0.011199490203658928","0.011199490203658928","0.011199490203658928"
"99","0.011141949986609516","0.011141949986609516","0.011141949986609516"
"100","0.011146350387965588","0.011146350387965588","0.011146350387965588"
"101","0.011166354853908288","0.011166354853908288","0.011166354853908288"
"102","0.011132916159395803","0.011132916159395803","0.011132916159395803"
"105","0.011117494185847385","0.011117494185847385","0.011117494185847385"
"106","0.011118093865308066","0.011118093865308066","0.011118093865308066"
"107","0.01120001270617288","0.01120001270617288","0.01120001270617288"
"108","0.011153993103376612","0.011153993103376612","0.011153993103376612"
"109","0.011122407876563583","0.011122407876563583","0.011122407876563583"
"112","0.011093110083848777","0.011093110083848777","0.011093110083848777"
"113","0.011194545629818484","0.011194545629818484","0.011194545629818484"
"114","0.011137308643755683","0.011137308643755683","0.011137308643755683"
"115","0.011051969799830641","0.011051969799830641","0.011051969799830641"
"116","0.011046180514403524","0.011046180514403524","0.011046180514403524"
"119","0.01107878741025261","0.01107878741025261","0.01107878741025261"
"120","0.0110509457899163","0.0110509457899163","0.0110509457899163"
"121","0.011081004333124167","0.011081004333124167","0.011081004333124167"
"122","0.011099084240955666","0.011099084240955666","0.011099084240955666"
"123","0.011088048983299924","0.011088048983299924","0.011088048983299924"
"126","0.011104888627562093","0.011104888627562093","0.011104888627562093"
"127","0.011110846185050986","0.011110846185050986","0.011110846185050986"
"128","0.011077221974677188","0.011077221974677188","0.011077221974677188"
"129","0.011077973005370906","0.011077973005370906","0.011077973005370906"
"130","0.01113732166617976","0.01113732166617976","0.01113732166617976"
"133","0.011085294737275911","0.011085294737275911","0.011085294737275911"
"134","0.011118671444715372","0.011118671444715372","0.011118671444715372"
"135","0.011053421405233547","0.011053421405233547","0.011053421405233547"
"136","0.01106821748374742","0.01106821748374742","0.01106821748374742"
"137","0.011074893563642864","0.011074893563642864","0.011074893563642864"
"140","0.011002607584516589","0.011002607584516589","0.011002607584516589"
"141","0.011058749487351015","0.011058749487351015","0.011058749487351015"
"142","0.011063404991638446","0.011063404991638446","0.011063404991638446"
"143","0.011054289751896358","0.011054289751896358","0.011054289751896358"
"144","0.01099264450053449","0.01099264450053449","0.01099264450053449"
"147","0.011024109589375483","0.011024109589375483","0.011024109589375483"
"148","0.011026153878382253","0.011026153878382253","0.011026153878382253"
"149","0.011064612406977809","0.011064612406977809","0.011064612406977809"
"150","0.010965227173564887","0.010965227173564887","0.010965227173564887"
"151","0.01102237269402025","0.01102237269402025","0.01102237269402025"
"154","0.011072232570754641","0.011072232570754641","0.011072232570754641"
"155","0.011075388124782379","0.011075388124782379","0.011075388124782379"
"156","0.011049428915747766","0.011049428915747766","0.011049428915747766"
"157","0.011086666248623105","0.011086666248623105","0.011086666248623105"
"158","0.011108820791910433","0.011108820791910433","0.011108820791910433"
"161","0.011012191380929244","0.011012191380929244","0.011012191380929244"
"162","0.010996474317460045","0.010996474317460045","0.010996474317460045"
"163","0.01094364575723882","0.01094364575723882","0.01094364575723882"
"164","0.011001891406131285","0.011001891406131285","0.011001891406131285"
"165","0.011062299080150802","0.011062299080150802","0.011062299080150802"
"168","0.011079008923717784","0.011079008923717784","0.011079008923717784"
"169","0.011019195712784499","0.011019195712784499","0.011019195712784499"
"170","0.011028604947290027","0.011028604947290027","0.011028604947290027"
"171","0.011009856571743092","0.011009856571743092","0.011009856571743092"
"172","0.01107620901177229","0.01107620901177229","0.01107620901177229"
"175","0.01099898059777996","0.01099898059777996","0.01099898059777996"
"176","0.011023903022833032","0.011023903022833032","0.011023903022833032"
"177","0.010981586716136821","0.010981586716136821","0.010981586716136821"
"178","0.010978971661287753","0.010978971661287753","0.010978971661287753"
"179","0.011029104369774976","0.011029104369774976","0.011029104369774976"
"182","0.01097621519124079","0.01097621519124079","0.01097621519124079"
"183","0.010981335781904874","0.010981335781904874","0.010981335781904874"
"184","0.01102481044047677","0.01102481044047677","0.01102481044047677"
"185","0.011034737936005833","0.011034737936005833","0.011034737936005833"
"186","0.011059232684607631","0.011059232684607631","0.011059232684607631"
"189","0.010921196386994509","0.010921196386994509","0.010921196386994509"
"190","0.010928594165888452","0.010928594165888452","0.010928594165888452"
"191","0.010958479172384194","0.010958479172384194","0.010958479172384194"
"192","0.010912109321897515","0.010912109321897515","0.010912109321897515"
"193","0.011033058596964017","0.011033058596964017","0.011033058596964017"
"196","0.011060223130450924","0.011060223130450924","0.011060223130450924"
"197","0.010963613712897656","0.010963613712897656","0.010963613712897656"
"198","0.010991840185693085","0.010991840185693085","0.010991840185693085"
"199","0.011018897783409474","0.011018897783409474","0.011018897783409474"
"200","0.01094939171592554","0.01094939171592554","0.01094939171592554"
"203","0.011007474732110539","0.011007474732110539","0.011007474732110539"
"204","0.010954349960897471","0.010954349960897471","0.010954349960897471"
"205","0.010938086331947445","0.010938086331947445","0.010938086331947445"
"206","0.010966399795054932","0.010966399795054932","0.010966399795054932"
"207","0.011051914216166052","0.011051914216166052","0.011051914216166052"
