"Step","dynunet_fold3 - train/total","dynunet_fold3 - train/total__MIN","dynunet_fold3 - train/total__MAX"
"0","0.19828764923705394","0.19828764923705394","0.19828764923705394"
"1","0.17483272732157043","0.17483272732157043","0.17483272732157043"
"2","0.16617742467462437","0.16617742467462437","0.16617742467462437"
"3","0.15829378801758037","0.15829378801758037","0.15829378801758037"
"4","0.1543306018352573","0.1543306018352573","0.1543306018352573"
"7","0.1507193067334351","0.1507193067334351","0.1507193067334351"
"8","0.14737760532080632","0.14737760532080632","0.14737760532080632"
"9","0.14463692996047486","0.14463692996047486","0.14463692996047486"
"10","0.14192518129035606","0.14192518129035606","0.14192518129035606"
"11","0.140893262636005","0.140893262636005","0.140893262636005"
"14","0.1397444317278253","0.1397444317278253","0.1397444317278253"
"15","0.13867805689999724","0.13867805689999724","0.13867805689999724"
"16","0.13565479874908604","0.13565479874908604","0.13565479874908604"
"17","0.13513315323193117","0.13513315323193117","0.13513315323193117"
"18","0.13500914995037583","0.13500914995037583","0.13500914995037583"
"21","0.13481804196266195","0.13481804196266195","0.13481804196266195"
"22","0.1324282802609208","0.1324282802609208","0.1324282802609208"
"23","0.13244940009829034","0.13244940009829034","0.13244940009829034"
"24","0.1316244789574207","0.1316244789574207","0.1316244789574207"
"25","0.12921598237651535","0.12921598237651535","0.12921598237651535"
"28","0.12967455298810812","0.12967455298810812","0.12967455298810812"
"29","0.1301134973020166","0.1301134973020166","0.1301134973020166"
"30","0.1285891764431178","0.1285891764431178","0.1285891764431178"
"31","0.12929198904602626","0.12929198904602626","0.12929198904602626"
"32","0.12759355017734333","0.12759355017734333","0.12759355017734333"
"35","0.12593625206701442","0.12593625206701442","0.12593625206701442"
"36","0.127236992985686","0.127236992985686","0.127236992985686"
"37","0.12570523687554866","0.12570523687554866","0.12570523687554866"
"38","0.12492135713142434","0.12492135713142434","0.12492135713142434"
"39","0.12503676005230802","0.12503676005230802","0.12503676005230802"
"42","0.12499534512908232","0.12499534512908232","0.12499534512908232"
"43","0.12485761690852645","0.12485761690852645","0.12485761690852645"
"44","0.12418382305482938","0.12418382305482938","0.12418382305482938"
"45","0.12257349105088189","0.12257349105088189","0.12257349105088189"
"46","0.12424117619911969","0.12424117619911969","0.12424117619911969"
"49","0.12262838544687618","0.12262838544687618","0.12262838544687618"
"50","0.12249567052329333","0.12249567052329333","0.12249567052329333"
"51","0.1220187554940517","0.1220187554940517","0.1220187554940517"
"52","0.1226819329724102","0.1226819329724102","0.1226819329724102"
"53","0.12239018570406456","0.12239018570406456","0.12239018570406456"
"56","0.12094048451487434","0.12094048451487434","0.12094048451487434"
"57","0.1204230680430135","0.1204230680430135","0.1204230680430135"
"58","0.12163536222028037","0.12163536222028037","0.12163536222028037"
"59","0.12086966124083645","0.12086966124083645","0.12086966124083645"
"60","0.12079716217150956","0.12079716217150956","0.12079716217150956"
"63","0.11963784074829187","0.11963784074829187","0.11963784074829187"
"64","0.12180824444043907","0.12180824444043907","0.12180824444043907"
"65","0.12005355014600519","0.12005355014600519","0.12005355014600519"
"66","0.120104641583195","0.120104641583195","0.120104641583195"
"67","0.11946470951399973","0.11946470951399973","0.11946470951399973"
"70","0.11964591920926974","0.11964591920926974","0.11964591920926974"
"71","0.1195728246667714","0.1195728246667714","0.1195728246667714"
"72","0.11837382792026513","0.11837382792026513","0.11837382792026513"
"73","0.11868799915114824","0.11868799915114824","0.11868799915114824"
"74","0.11850870580494918","0.11850870580494918","0.11850870580494918"
"77","0.11777668669276728","0.11777668669276728","0.11777668669276728"
"78","0.11789432171325866","0.11789432171325866","0.11789432171325866"
"79","0.11827163758122444","0.11827163758122444","0.11827163758122444"
"80","0.11744466567005697","0.11744466567005697","0.11744466567005697"
"81","0.116965026560503","0.116965026560503","0.116965026560503"
"84","0.11779493495429899","0.11779493495429899","0.11779493495429899"
"85","0.11739746940304117","0.11739746940304117","0.11739746940304117"
"86","0.11620568505590922","0.11620568505590922","0.11620568505590922"
"87","0.11629205917010232","0.11629205917010232","0.11629205917010232"
"88","0.11593066312505443","0.11593066312505443","0.11593066312505443"
"91","0.11586736566281514","0.11586736566281514","0.11586736566281514"
"92","0.11507878541749285","0.11507878541749285","0.11507878541749285"
"93","0.11556006365276664","0.11556006365276664","0.11556006365276664"
"94","0.11470407538707358","0.11470407538707358","0.11470407538707358"
"95","0.11594185287527112","0.11594185287527112","0.11594185287527112"
"98","0.11504250312411099","0.11504250312411099","0.11504250312411099"
"99","0.11601819316645356","0.11601819316645356","0.11601819316645356"
"100","0.11531164737309674","0.11531164737309674","0.11531164737309674"
"101","0.11440703468890076","0.11440703468890076","0.11440703468890076"
"102","0.11526478720591535","0.11526478720591535","0.11526478720591535"
"105","0.11458542147454188","0.11458542147454188","0.11458542147454188"
"106","0.11424802250045776","0.11424802250045776","0.11424802250045776"
"107","0.11501791690462158","0.11501791690462158","0.11501791690462158"
"108","0.11443234333008141","0.11443234333008141","0.11443234333008141"
"109","0.11401259659343957","0.11401259659343957","0.11401259659343957"
"112","0.11360265115742646","0.11360265115742646","0.11360265115742646"
"113","0.11472181035768941","0.11472181035768941","0.11472181035768941"
"114","0.11242393977219967","0.11242393977219967","0.11242393977219967"
"115","0.11369938311241487","0.11369938311241487","0.11369938311241487"
"116","0.11261743241941183","0.11261743241941183","0.11261743241941183"
"119","0.11367108125931565","0.11367108125931565","0.11367108125931565"
"120","0.11244330912844537","0.11244330912844537","0.11244330912844537"
"121","0.11236765213938306","0.11236765213938306","0.11236765213938306"
