"Step","unet2d_25d_fold0 - train/mae","unet2d_25d_fold0 - train/mae__MIN","unet2d_25d_fold0 - train/mae__MAX"
"0","0.08772993403534762","0.08772993403534762","0.08772993403534762"
"1","0.07655875546261373","0.07655875546261373","0.07655875546261373"
"2","0.07137924680640928","0.07137924680640928","0.07137924680640928"
"3","0.06860285610431739","0.06860285610431739","0.06860285610431739"
"4","0.06697853827856393","0.06697853827856393","0.06697853827856393"
"7","0.06574169878365671","0.06574169878365671","0.06574169878365671"
"8","0.06480129754958534","0.06480129754958534","0.06480129754958534"
"9","0.06420977134772911","0.06420977134772911","0.06420977134772911"
"10","0.06353455813336573","0.06353455813336573","0.06353455813336573"
"11","0.0627336256283339","0.0627336256283339","0.0627336256283339"
"14","0.06212618236647175","0.06212618236647175","0.06212618236647175"
"15","0.06167101764631837","0.06167101764631837","0.06167101764631837"
"16","0.061378733632651714","0.061378733632651714","0.061378733632651714"
"17","0.061077452740326464","0.061077452740326464","0.061077452740326464"
"18","0.06053130463789044","0.06053130463789044","0.06053130463789044"
"21","0.059983237416450334","0.059983237416450334","0.059983237416450334"
"22","0.0598326213282382","0.0598326213282382","0.0598326213282382"
"23","0.05929579273558299","0.05929579273558299","0.05929579273558299"
"24","0.059201797765307866","0.059201797765307866","0.059201797765307866"
"25","0.058872388429542184","0.058872388429542184","0.058872388429542184"
"28","0.058396961100826504","0.058396961100826504","0.058396961100826504"
"29","0.05799194574135212","0.05799194574135212","0.05799194574135212"
"30","0.05766170111304451","0.05766170111304451","0.05766170111304451"
"31","0.057328435630636956","0.057328435630636956","0.057328435630636956"
"32","0.05714978150979214","0.05714978150979214","0.05714978150979214"
"35","0.05697212952848067","0.05697212952848067","0.05697212952848067"
"36","0.056481020482765","0.056481020482765","0.056481020482765"
"37","0.05600070568876481","0.05600070568876481","0.05600070568876481"
"38","0.05577703147994082","0.05577703147994082","0.05577703147994082"
"39","0.05543005518659419","0.05543005518659419","0.05543005518659419"
"42","0.05503262692819471","0.05503262692819471","0.05503262692819471"
"43","0.05479039790425376","0.05479039790425376","0.05479039790425376"
"44","0.05470158729348847","0.05470158729348847","0.05470158729348847"
"45","0.054306786291286525","0.054306786291286525","0.054306786291286525"
"46","0.053667036547756244","0.053667036547756244","0.053667036547756244"
"49","0.05342670138962125","0.05342670138962125","0.05342670138962125"
"50","0.052937214982073766","0.052937214982073766","0.052937214982073766"
"51","0.05269672345230172","0.05269672345230172","0.05269672345230172"
"52","0.0523266225836052","0.0523266225836052","0.0523266225836052"
"53","0.05202381181173586","0.05202381181173586","0.05202381181173586"
"56","0.0516676969686339","0.0516676969686339","0.0516676969686339"
"57","0.05126073043241272","0.05126073043241272","0.05126073043241272"
"58","0.05087291336371729","0.05087291336371729","0.05087291336371729"
"59","0.05062800433170124","0.05062800433170124","0.05062800433170124"
"60","0.05013687812866783","0.05013687812866783","0.05013687812866783"
"63","0.049881006009037436","0.049881006009037436","0.049881006009037436"
"64","0.049399983084101685","0.049399983084101685","0.049399983084101685"
"65","0.04916765883439791","0.04916765883439791","0.04916765883439791"
"66","0.04875029076384049","0.04875029076384049","0.04875029076384049"
"67","0.04852713242084848","0.04852713242084848","0.04852713242084848"
"70","0.04801764692043657","0.04801764692043657","0.04801764692043657"
"71","0.04776699163770605","0.04776699163770605","0.04776699163770605"
"72","0.04736132660637731","0.04736132660637731","0.04736132660637731"
"73","0.04704202899208712","0.04704202899208712","0.04704202899208712"
"74","0.04670002517242559","0.04670002517242559","0.04670002517242559"
"77","0.04626239641926623","0.04626239641926623","0.04626239641926623"
"78","0.04608352927770834","0.04608352927770834","0.04608352927770834"
"79","0.04577481390415091","0.04577481390415091","0.04577481390415091"
"80","0.045450898535593816","0.045450898535593816","0.045450898535593816"
"81","0.04510829859107674","0.04510829859107674","0.04510829859107674"
"84","0.04485318309042176","0.04485318309042176","0.04485318309042176"
"85","0.04459295045260502","0.04459295045260502","0.04459295045260502"
"86","0.044269804745588615","0.044269804745588615","0.044269804745588615"
"87","0.044050798435573996","0.044050798435573996","0.044050798435573996"
"88","0.0437622057369693","0.0437622057369693","0.0437622057369693"
"91","0.04360423439141849","0.04360423439141849","0.04360423439141849"
"92","0.043355248662322876","0.043355248662322876","0.043355248662322876"
"93","0.04307132814072161","0.04307132814072161","0.04307132814072161"
"94","0.04292261450893794","0.04292261450893794","0.04292261450893794"
"95","0.042621522692396586","0.042621522692396586","0.042621522692396586"
"98","0.04255369787468859","0.04255369787468859","0.04255369787468859"
"99","0.042265312922860794","0.042265312922860794","0.042265312922860794"
"100","0.042109048166661986","0.042109048166661986","0.042109048166661986"
"101","0.04196822186342989","0.04196822186342989","0.04196822186342989"
"102","0.04171349992460236","0.04171349992460236","0.04171349992460236"
"105","0.041599236092283554","0.041599236092283554","0.041599236092283554"
"106","0.04142271581440869","0.04142271581440869","0.04142271581440869"
"107","0.0412333721574764","0.0412333721574764","0.0412333721574764"
"108","0.0411483179851483","0.0411483179851483","0.0411483179851483"
"109","0.04106774478745849","0.04106774478745849","0.04106774478745849"
"112","0.04088880761559655","0.04088880761559655","0.04088880761559655"
"113","0.040836025487351796","0.040836025487351796","0.040836025487351796"
"114","0.04069843935621939","0.04069843935621939","0.04069843935621939"
"115","0.04058588577338711","0.04058588577338711","0.04058588577338711"
"116","0.04056062744378219","0.04056062744378219","0.04056062744378219"
"119","0.04046547339875767","0.04046547339875767","0.04046547339875767"
"120","0.040375770364148106","0.040375770364148106","0.040375770364148106"
"121","0.040297054499755854","0.040297054499755854","0.040297054499755854"
"122","0.04024885854915727","0.04024885854915727","0.04024885854915727"
"123","0.04018092525666469","0.04018092525666469","0.04018092525666469"
"126","0.04014087331963504","0.04014087331963504","0.04014087331963504"
"127","0.04014083290612509","0.04014083290612509","0.04014083290612509"
"128","0.04014047057599772","0.04014047057599772","0.04014047057599772"
"129","0.040017347702601916","0.040017347702601916","0.040017347702601916"
"130","0.04003881185164623","0.04003881185164623","0.04003881185164623"
"133","0.04001594045578609","0.04001594045578609","0.04001594045578609"
"134","0.039939343845361304","0.039939343845361304","0.039939343845361304"
"135","0.039919421021189734","0.039919421021189734","0.039919421021189734"
"136","0.039883410274290404","0.039883410274290404","0.039883410274290404"
"137","0.03992303804799973","0.03992303804799973","0.03992303804799973"
