"Step","unet2d_25d_fold1 - train/total","unet2d_25d_fold1 - train/total__MIN","unet2d_25d_fold1 - train/total__MAX"
"0","0.3260745984630381","0.3260745984630381","0.3260745984630381"
"1","0.28243088941449696","0.28243088941449696","0.28243088941449696"
"2","0.26260795235113565","0.26260795235113565","0.26260795235113565"
"3","0.2549426626237223","0.2549426626237223","0.2549426626237223"
"4","0.247352001785928","0.247352001785928","0.247352001785928"
"7","0.24258216527477344","0.24258216527477344","0.24258216527477344"
"8","0.23909519809064747","0.23909519809064747","0.23909519809064747"
"9","0.2362676022078136","0.2362676022078136","0.2362676022078136"
"10","0.2338244503852829","0.2338244503852829","0.2338244503852829"
"11","0.23093482050657413","0.23093482050657413","0.23093482050657413"
"14","0.22887980548475667","0.22887980548475667","0.22887980548475667"
"15","0.22709365824084743","0.22709365824084743","0.22709365824084743"
"16","0.22627204641693946","0.22627204641693946","0.22627204641693946"
"17","0.2239469188412015","0.2239469188412015","0.2239469188412015"
"18","0.22243708117381644","0.22243708117381644","0.22243708117381644"
"21","0.2208669496011084","0.2208669496011084","0.2208669496011084"
"22","0.21967741283348796","0.21967741283348796","0.21967741283348796"
"23","0.21790333129334047","0.21790333129334047","0.21790333129334047"
"24","0.21624011852843894","0.21624011852843894","0.21624011852843894"
"25","0.21461332363298286","0.21461332363298286","0.21461332363298286"
"28","0.21315038085521648","0.21315038085521648","0.21315038085521648"
"29","0.21263263435948826","0.21263263435948826","0.21263263435948826"
"30","0.21083358627305213","0.21083358627305213","0.21083358627305213"
"31","0.21002915095743968","0.21002915095743968","0.21002915095743968"
"32","0.20853581752009887","0.20853581752009887","0.20853581752009887"
"35","0.20725966139856203","0.20725966139856203","0.20725966139856203"
"36","0.2056135813577379","0.2056135813577379","0.2056135813577379"
"37","0.2050517041728678","0.2050517041728678","0.2050517041728678"
"38","0.20316597144128576","0.20316597144128576","0.20316597144128576"
"39","0.2025625455851249","0.2025625455851249","0.2025625455851249"
"42","0.20077175422246057","0.20077175422246057","0.20077175422246057"
"43","0.19932257751037252","0.19932257751037252","0.19932257751037252"
"44","0.19764977568601944","0.19764977568601944","0.19764977568601944"
"45","0.19693567132940476","0.19693567132940476","0.19693567132940476"
"46","0.19448563058722856","0.19448563058722856","0.19448563058722856"
"49","0.19350890106298307","0.19350890106298307","0.19350890106298307"
"50","0.19224165490488296","0.19224165490488296","0.19224165490488296"
"51","0.19025917698929898","0.19025917698929898","0.19025917698929898"
"52","0.18942255356958118","0.18942255356958118","0.18942255356958118"
"53","0.18747484524690108","0.18747484524690108","0.18747484524690108"
"56","0.18638282300953352","0.18638282300953352","0.18638282300953352"
"57","0.18480321770645722","0.18480321770645722","0.18480321770645722"
"58","0.18291181786422075","0.18291181786422075","0.18291181786422075"
"59","0.1813997220468666","0.1813997220468666","0.1813997220468666"
"60","0.17983298845773307","0.17983298845773307","0.17983298845773307"
"63","0.1783213756960974","0.1783213756960974","0.1783213756960974"
"64","0.17655240584467383","0.17655240584467383","0.17655240584467383"
"65","0.17502282953884332","0.17502282953884332","0.17502282953884332"
"66","0.17345689789846205","0.17345689789846205","0.17345689789846205"
"67","0.17186395549345082","0.17186395549345082","0.17186395549345082"
"70","0.17030084115318245","0.17030084115318245","0.17030084115318245"
"71","0.16882627133225964","0.16882627133225964","0.16882627133225964"
"72","0.16700225569696556","0.16700225569696556","0.16700225569696556"
"73","0.16568954886408963","0.16568954886408963","0.16568954886408963"
"74","0.1640271957117513","0.1640271957117513","0.1640271957117513"
"77","0.16245264781616328","0.16245264781616328","0.16245264781616328"
"78","0.16146587635978338","0.16146587635978338","0.16146587635978338"
"79","0.15968590100555619","0.15968590100555619","0.15968590100555619"
"80","0.15801383235311686","0.15801383235311686","0.15801383235311686"
"81","0.1569863791183286","0.1569863791183286","0.1569863791183286"
"84","0.1555873885174951","0.1555873885174951","0.1555873885174951"
"85","0.15421509499547995","0.15421509499547995","0.15421509499547995"
"86","0.1528192397825224","0.1528192397825224","0.1528192397825224"
"87","0.15166059351373112","0.15166059351373112","0.15166059351373112"
"88","0.1506960073492547","0.1506960073492547","0.1506960073492547"
"91","0.14948100222821983","0.14948100222821983","0.14948100222821983"
"92","0.1483222411550134","0.1483222411550134","0.1483222411550134"
"93","0.14748948106594112","0.14748948106594112","0.14748948106594112"
"94","0.14628797958514744","0.14628797958514744","0.14628797958514744"
"95","0.14542287529222214","0.14542287529222214","0.14542287529222214"
"98","0.1447965508877132","0.1447965508877132","0.1447965508877132"
"99","0.14361345566072595","0.14361345566072595","0.14361345566072595"
"100","0.14290707961759552","0.14290707961759552","0.14290707961759552"
"101","0.1421494493608079","0.1421494493608079","0.1421494493608079"
"102","0.1411121005405043","0.1411121005405043","0.1411121005405043"
"105","0.14034257230643737","0.14034257230643737","0.14034257230643737"
"106","0.13946487748372105","0.13946487748372105","0.13946487748372105"
"107","0.1388190746520748","0.1388190746520748","0.1388190746520748"
"108","0.13842563231454824","0.13842563231454824","0.13842563231454824"
"109","0.1378203079012351","0.1378203079012351","0.1378203079012351"
"112","0.13754582549337546","0.13754582549337546","0.13754582549337546"
"113","0.13668338589153953","0.13668338589153953","0.13668338589153953"
"114","0.1363009492453464","0.1363009492453464","0.1363009492453464"
"115","0.13587631202982822","0.13587631202982822","0.13587631202982822"
"116","0.13559819213321112","0.13559819213321112","0.13559819213321112"
"119","0.1351307674492689","0.1351307674492689","0.1351307674492689"
"120","0.13480086119610943","0.13480086119610943","0.13480086119610943"
"121","0.13467996376108052","0.13467996376108052","0.13467996376108052"
"122","0.13399906102721365","0.13399906102721365","0.13399906102721365"
"123","0.13377327901132555","0.13377327901132555","0.13377327901132555"
"126","0.13388350357806836","0.13388350357806836","0.13388350357806836"
"127","0.13367879002476707","0.13367879002476707","0.13367879002476707"
"128","0.133734278142651","0.133734278142651","0.133734278142651"
"129","0.13329562214968624","0.13329562214968624","0.13329562214968624"
"130","0.13326369256158233","0.13326369256158233","0.13326369256158233"
"133","0.13285511968567493","0.13285511968567493","0.13285511968567493"
"134","0.13295875092045426","0.13295875092045426","0.13295875092045426"
"135","0.1329425434582301","0.1329425434582301","0.1329425434582301"
"136","0.13285393964918676","0.13285393964918676","0.13285393964918676"
"137","0.132905222729094","0.132905222729094","0.132905222729094"
